American; |əˈmerɪkən|;американский, американец, американка
Anglican; |ˈæŋɡlɪkən|;англиканский, английский
April; |ˈeɪprəl|;апрель, апрельский
August; |ˈɔːɡəst|;августейший, августовский, величественный
British; |ˈbrɪtɪʃ|;британский, английский, англичане, британцы
Buddhism; |ˈbʊdɪzəm|;буддизм
Buddhist; |ˈbʊdɪst|;буддист
Catholic; |ˈkæθlɪk|;католический, вселенский, мировой, католик
Christian; |ˈkrɪstʃən|;христианский, христианин, Кристиан, Христиан
Christianity; |ˌkrɪstiˈænəti|;христианство
Communism; |ˈkɑːmjunɪzəm|;коммунизм
Communist; |ˈkɑːmjənɪst|;коммунистический, коммунист
December; |dɪˈsembər|;декабрь, декабрьский
English; |ˈɪŋɡlɪʃ|;английский, английский язык
February; |ˈfebrueri|;февраль
Friday; |ˈfraɪdeɪ|;пятница
Hindu; |ˈhɪnduː|;индусский, индус
Internet; |ˈɪntərnet|;интернет
Islam; |ˈɪzlɑːm|;ислам, мусульманство
Islamic; |ɪzˈlæmɪk|;исламский, мусульманский
January; |ˈdʒænjueri|;январь, январский
Jewish; |ˈdʒuːɪʃ|;еврейский, иудейский
July; |dʒuˈlaɪ|;июль, июльский
June; |dʒuːn|;июнь, июньский
March; |mɑːrtʃ|;марш, ход, маршировка, маршировать, шествовать, походный, маршевый
May; |meɪ|;может, мочь, иметь возможность, дева
Monday; |ˈmʌndeɪ|;понедельник
Muslim; |ˈmʊzlɪm|;мусульманский, мусульманин, мусульманка
November; |noʊˈvembər|;ноябрь, ноябрьский
October; |ɑːkˈtoʊbər|;октябрь, октябрьский
Protestant; |ˈprɑːtɪstənt|;протестантский, протестант
Saturday; |ˈsætərdeɪ|;суббота
September; |sepˈtembər|;сентябрь, сентябрьский
Sunday; |ˈsʌndeɪ|;воскресенье, воскресный, проводить воскресенье
Thursday; |ˈθɜːrzdeɪ|;четверг
Tuesday; |ˈtuːzdeɪ|;вторник
Wednesday; |ˈwenzdeɪ|;среда
a; |eɪ|;один, акр, мне следовало бы подумать об этом, из
abandon; |əˈbændən|;отказываться от, оставлять, покидать, развязность, несдержанность
abandoned; |əˈbændənd|;заброшенный, брошенный, покинутый, оставленный, распутный
abbreviation; |əˌbriviˈeɪʃən|;аббревиатура, сокращение, аббревиация
ability; |əˈbɪləti|;способность, возможность, умение, ловкость, дарование, компетенция
able; |ˈeɪbl|;в состоянии, способный, умеющий, могущий, умелый, талантливый, компетентный, знающий
about; |əˈbaʊt|;о, об, около, по, около, меняющий курс, менять курс
above; |əˈbʌv|;выше, более, свыше, выше, над, свыше, вышеупомянутое, упомянутый выше
