1. move;1. двигать/двигаться
advance;продвигаться вперед
proceed;следовать/двигаться
go;двигаться (идти, ехать)
pass;пройти мимо/следовать
stir;шевелить/шевелиться
budge;сдвинуть с места/шевелиться
travel;путешествовать/двигаться
push;толкать/двигать
propel;двигать
shift;перемещать/перемещаться
drive;двигать/гнать/ехать
2. turn;2. поворачивать/поворачиваться
spin;вертеть/вертеться
revolve;вращаться (вокруг)
rotate;вращаться вокруг оси
whirl;кружиться
roll;катить(катиться)
3. shake;3. трясти/трястись
tremble;дрожать
quake;дрожать
shiver;дрожать/трястись
quiver;дрожать
shudder;содрогаться (от удара)
vibrate;вибрировать
oscillate;колебаться
swing;раскачивать/раскачиваться
4. bend;4. изгибать/сгибать
curve;изгибать/изгибаться
bow;кланяться
deflect;отклонять/отклоняться
stoop;наклоняться/сутулиться
turn;поворачивать/сгибать
5. slide;5. скользить/задвигать
slip;выскользать, поскользнуться
glide;скользить по поверхности
skid;идти юзом/заносить
skim;скользить
6. stop;6. останавливать/останавливаться
halt;останавливать/останавливаться
stay;останавливать(ся) /находиться
pause;делать паузу/останавливаться
stick;застревать
