1. pursue;1. преследовать/гнаться
follow;следовать
chase;гнаться
hound;преследовать/травить
track;выслеживать
trace;выслеживать/прослеживать
spy;следить/шпионить
2. catch;2. поймать
capture;поймать
seize;схватить
take;захватывать
arrest;арестовать/схватить
kidnap;похищать
3. escape;3. убежать/избежать
run away;убежать
flee;спасаться бегством
steal away;ускользнуть
give the slip;ускользнуть
disappear;исчезнуть
vanish;исчезнуть
avoid;избегать
elude;избегать/ускользать
shun;избегать
evade;уклоняться
