1. reduce;1. сокращать/уменьшать
lessen;уменьшать/уменьшаться
diminish;уменьшать/уменьшаться
decrease;снижать(ся)/уменьшать(ся)
shrink;сжиматься
dwindle;уменьшаться/истощаться
decline;уменьшаться/падать
wane;слабеть/убывать
drop;резко снижаться
2. eliminate;2. устранять
remove;убирать
get rid;избавляться
leave out;опускать/исключать
omit;опускать/пропускать
annihilate;уничтожать
exclude;исключать
clear;убирать
empty;опорожнять
lose;терять
3. spend;3. тратить
pay;платить
expend;тратить/расходовать
disburse;выплачивать
use up;израсходовать
consume;потреблять
spare;уделять/выделять
spare no expense;не жалеть денег
invest;вкладывать
allot;наделять/выделять
waste;тратить нерационально
4. spoil;4. портить
damage;повреждать
ruin;губить/портить
harm;причинять вред
destroy;разрушать
wreck;разбить/погубить
undermine;подрывать
annihilate;уничтожать
