1. address;1. обращаться
turn;обращаться
speak;говорить (с кем)
talk;разговаривать
accost;обращаться/подходить
appeal;апеллировать/взывать
2. inform;2. информировать
notify;сообщать/уведомлять
tell;сказать
relate;информировать/рассказывать
narrate;рассказывать
recite;читать/декламировать
state;излагать
declare;заявлять
report;докладывать/давать репортаж
proclaim;провозглашать
announce;объявлять
mention;упоминать
reveal;показывать/раскрывать
allege;утверждать
advertise;рекламировать
assert;утверждать
claim;требовать/утверждать
warn;предупреждать
advise;советовать
explain;объяснять
suggest;предлагать
propose;предлагать
express;выражать
3. ask;3. спрашивать
question;расспрашивать/допрашивать
inquire;запрашивать
request;просить
put a question;задать вопрос
4. demand;4. требовать
ask;просить (чего-то)
request;просить
order;приказывать
call;призывать
claim;требовать/подавать рекламаци
command;командовать
challenge;бросать вызов
direct;руководить
charge;поручать
require;требовать
5. beg;5. просить
entreat;умолять
plead;умолять/упрашивать
implore;умолять
beseech;умолять
solicit;выпрашивать
petition;обращаться с петицией
appeal;апеллировать/взывать
