1. answer;1. отвечать
reply;отвечать
respond;реагировать
retort;резко отвечать
answer back;перечить/дерзить
react;реагировать
rejoin;отвечать
2. allow;2. разрешать
permit;разрешать
agree;соглашаться
cede;уступать
concede;допускать/неохотно признать
let;разрешать
consent;соглашаться
assent;соглашаться
accept;принимать
approve;одобрять
admit;признать
recognize;признать
3. help;3. помогать
assist;помогать
aid;помогать
support;поддерживать
back;поддерживать
encourage;поощрять/способствовать
contribute;содействовать
co-operate;сотрудничать
stand by;поддерживать
finance;финансировать
sponsor;финансировать
grant;предоставлять
4. show;4. показывать
display;показывать
present;представлять/показывать
exhibit;выставлять/показывать
demonstrate;демонстрировать
expose;раскрывать/экспонировать
reveal;раскры вать/показы вать
produce;вытаскивать и показывать
5. advise;5. советовать
counsel;советовать
recommend;рекомендовать
suggest;предлагать
warn;предостерегать
caution;предостерегать
persuade;уговаривать
convince;убеждать
influence;влиять
incite;подстрекать
goad on;подгонять/подстрекать
encourage;поощрять
admonish;советовать/журить
urge;убеждать/призывать
6. prohibit;6. запрещать
forbid;запрещать
disallow;не разрешать
ban;запрещать
restrict;ограничивать
prevent;предотвращать
turn down;отвергать/отказать
decline;вежливо отказать
obstruct;препятствовать
hinder;мешать
