1. take;1. брать
accept;принимать
receive;получать
get;получать
obtain;получать
gain;получать/добиться
procure;доставать/добывать
secure;достать
acquire;приобретать
net;получать чистую прибыль
2. offer;2. предлагать, давать
give;давать
furnish;снабжать
provide;снабжать
supply;снабжать
donate;жертвовать/давать
present;дарить
grant;давать/предоставлять
lend;давать взаймы
pass;передавать/подавать
bestow;дарить/присуждать
confer;присваивать/давать
award;присуждать/давать
3. lend;3. давать на время
loan;занимать, давать заем
advance;ссужать
lease;брать/сдавать в аренду
rent;сдавать внаем
let;сдавать внаем
hire out;сдавать на прокат
4. borrow;4.занимать
hire;нанимать
lease;брать напрокат
rent;снимать (квартиру)
charter;фрахтовать, брать напрокат
5. sell;5. продавать
vend;продавать
trade;торговать
barter;обмениваться/совершать бартер
market;сбывать
retail;продавать в розницу
hawk;продавать на улице
6. buy;6. покупать
purchase;покупать
procure;приобретать/доставать
acquire;приобретать
7. reject;7. отвергать
refuse;отказываться
turn down;отвергать
decline;вежливо отклонить
disallow;не разрешать(ся)
disobey;не повиноваться
deny;отказывать
forbid;запрещать
