1. disturb;1. мешать/беспокоить
trouble;беспокоить
bother;беспокоить
tire;утомлять
pester;надоедать/приставать
harass;беспокоить/дергать
hound;приставать, травить, преследовать
2. lie;2. врать
misinform;неправильно информировать
slander;клеветать
fabricate;сфабриковать
prevaricate;увиливать/привирать
make up;выдумать
fib;врать
forge;подделывать
deceive;обманывать
trick;обманывать/надувать
3. punish;3. наказывать
penalize;наказывать
discipline;дисциплинировать
chasten;наказывать
chastise;наказывать
castigate;бичевать
reprimand;делать выговор
reprove;сделать выговор
whip;пороть плетью
4. judge;4. судить
arbitrate;судить/быть арбитром
referee;судить
