1. work;1. работать
labour;выполнять тяжелую работу
toil;трудиться
operate;работать/действовать
run;работать/действовать
function;функционировать
act;действовать
2. employ;2. нанимать/принимать на работу
hire;нанимать
engage;нанимать
enlist;вербовать
recruit;набирать, вербовать
3. dismiss;3. увольнять
fire;увольнять
sack;увольнять
discharge;увольнять
4. earn;4. зарабатывать
gain;получать/завоевать
profit;извлекать пользу
win;выигрывать
net;получать "чистыми"
deserve;заслуживать
get;получать/зарабатывать
5. pay;5. платить
reward;вознаграждать
return;возвращать/расплатиться
compensate;компенсировать
settle;оплачивать
remit;переводить (деньги)
discharge;расплатиться с долгом, погасить
remunerate;расплатиться
6. save;6. сберегать/собирать
spare;держать в запасе
reserve;держать в резерве
set aside;отложить
accumulate';накапливать
economize;экономить
be thrifty;быть бережливым
7. waste;7. тратить непроизводительно/зря
squander;промотать
misspend;растрачивать
dissipate;расточать
throw away;выбрасывать
8. rest;8. отдыхать
relax;расслабиться
lounge;валяться
repose;отдыхать
amuse oneself;развлекаться
entertain;развлекать
refresh;освежать
