1. ache;1. болеть
hurt;болеть
shoot;стрелять(болеть)
be sore;быть больным (о части тела)
be painful;быть болезненным
suffer pain;испытывать боль
2. treat;2. лечить
cure;излечить
heal;заживлять/исцелять
remedy;излечивать
administer;давать/оказать (помощь)
pull through;помочь выкарабкаться, вылечить
3. recover;3. выздоравливать
improve;поправляться
feel better;чувствовать лучше
heal;заживать
be on the mend;поправляться
convalesce;выздоравливать
4. weaken;4. слабеть/ослаблять
wither;увядать
decline;слабеть
fade;увядать/слабеть
fail;ухудшаться (о здоровье)
deteriorate;ухудшаться
collapse;свалиться
be ran down;выбиться из сил
5. die;5. умирать
decease;умирать/скончаться
expire;испустить дух
pass away;скончаться
perish;погибать
