1. love;1. любить
worship;обожать, боготворить
admire;любоваться/преклоняться
adore;обожать
cherish;дорожить/лелеять
like;любить/нравиться
treasure;дорожить
be taken;увлекаться
2. want;2. хотеть
desire;очень хотеть
crave;жаждать
long;очень хотеть
wish;хотеть
die (for);жаждать
fancy;любить/нравиться
3. prefer;3. предпочитать
select;избирать/выбирать
choose;выбирать/предпочитать
elect;избирать (на выборах)
pick;выбирать
favour;предпочитать
4. respect;4. уважать/почитать
honour;чтить/почитать
to hold in esteem;почитать
revere;почитать
value;ценить
appreciate;ценить
5. praise;5. хвалить
approve;одобрять
commend;хвалить
laud;восхвалять
applaud;аплодировать/приветствовать
celebrate;прославлять
honour;чествовать
exto;восхвалять/расхваливать
