1. hate;1. ненавидеть
dislike;не любить
detest;ненавидеть
despise;презирать
abhor;ненавидеть
loathe;ненавидеть
2. scold;2. бранить
reprove;упрекать
reprimand;делать выговор
criticize;критиковать
berate;ругать
reproach;упрекать
blame;винить
censure;порицать/осуждать
accuse;обвинять
charge;обвинять (юридически)
incriminate;изобличать, инкриминировать
condemn;осуждать
denounce;осуждать (публично)
3. quarrel;3. ссориться
argue;спорить
dispute;спорить/ссориться
disagree;расходиться во взглядах
differ;расходиться во взглядах
squabble;пререкаться/вздорить
bicker;вздорить
spar;пререкаться
wrangle;пререкаться
skirmish;иметь стычку
claim;предъявлять претензии
fight;ссориться, драться
cavil;придираться
