1. suffer;1. страдать
undergo;претерпеть/подвергаться
endure;вытерпеть/переносить
experience;испытывать (чувство)
affect;затрагивать/влиять/поражать
agonize;мучиться
have anguish;страдать
be tormented;мучить/мучиться
be exposed;быть подверженным
be harmed;быть обиженным, страдать
fret;мучиться
2. bear;2. выносить
stand;выстоять
withstand;выстоять
support;выдержать
tolerate;вытерпеть
resist;устоять
endure;терпеть, выносить
3. give in;3.сдаваться
give up;бросить (делать что-то)
surrender;капитулировать
submit;покоряться
yield;поддаваться/сдаваться
resign (oneself);сдаваться/покоряться
despair;отчаиваться
4. complain;4. жаловаться
groan;стонать
moan;стонать
lament;сетовать/сокрушаться
grumble;роптать/ворчать
protest;протестовать
appeal;апеллировать
implore;умолять
5. weep;5. плакать
cry;плакать
sob;рыдать
bemoan;оплакивать
lament;плакаться (жаловаться)
6. worry;6. беспокоиться
fret;мучиться
agonize;мучиться
fidget;суетиться/ерзать
grieve;горевать
chafe;горячиться
be anxious;беспокоиться/тревожиться
be ill at ease;чувствовать себя неловко
comfort;7. успокаивать/утешать
soothe;успокаивать
relieve;облегчать
console;утешать
ease;облегчать
calm;успокаивать
cheer up;ободряться/ободрять
8. rejoice;8. радоваться
be pleased;быть довольным
be satisfied;быть удовлетворенным
gratify;доставлять удовольствие
enjoy;наслаждаться
delight /be delighted;наслаждаться
celebrate;ликовать/торжествовать
triump;ликовать/торжествовать
