1. care;1.заботиться
look (after);заботиться/ухаживать
attend;заботиться
pay attention;уделять внимание
watch;следить
guard;охранять/стеречь
supervise;присматривать
worry;беспокоиться
concern oneself;заниматься
deal;заниматься
monitor;контролировать
2. try;2. стараться/пытаться
attempt;пытаться
endeavour;стараться/стремиться
strive;стараться/стремиться
essay;пытаться
aspire;стремиться
seek;добиваться
apply oneself;налегать (на), заниматься
do one's best;делать все возможное
see (about);заниматься (чем-то)
3. neglect;3. не заботиться, запускать
fail;провалиться/подводить (кого)
ignore;игнорировать
disregard;пренебрегать/игнорировать
omit;пропускать/упускать
overlook;просмотреть/упустить
shirk;увиливать
