1. agitate;1. волновать
disturb;беспокоить
worry;беспокоить
stir up;возбуждать
excite;возбуждать
move;трогать
touch;трогать
shake;потрясти
trouble;беспокоить
concern;волновать
2. scare;2. пугать
frighten;пугать
startle;испугать
alarm;тревожить
terrify;вызывать ужас
shock;потрясать/шокировать
3. surprise;3. удивлять
amaze;сильно удивлять
astonish;удивлять
astound;поражать
dazzle;поражать
bewilder;озадачивать
stupefy;ошеломлять
impress;впечатлять (глубоко)
confuse;смущать
strike;впечатлять
puzzle;озадачить
perplex;озадачить
stun;ошеломлять/потрясать
shock;шокировать
4. irritate;4. раздражать
annoy;раздражать
vex;досаждать
displease;вызывать недовольство
hurt;обижать
bother;беспокоить/раздражать
pester;надоедать (кому-то)
irk;раздражать/надоедать
harry;мучить/изводить/дергать
harass;беспокоить/дергать
disturb;беспокоить
offend;оскорблять/смущать
embarrass';смущать
wound;ранить (душевно)
5. anger;5. сердить
infuriate;бесить/доводить
enrage;разъярять
exasperate;сильно раздражать
inflame;разъярять
provoke;провоцировать/выводить из себя
