1. see;1. видеть/смотреть
view;смотреть
notice;увидеть
perceive;видеть/обнаружить
behold;смотреть/созерцать
regard;рассматривать
witness;быть свидетелем/очевидцем
examine;внимательно смотреть
study;внимательно смотреть
eye;разглядывать
scrutinize;пристально рассматривать
detect;обнаружить/увидеть
look;смотреть
watch;следить/смотреть
glance;бросить взгляд
survey;осматривать
gaze;устремить взор, уставиться
stare;пристально смотреть
contemplate;созерцать
distinguish;различать
discern;различать/разглядеть
2. hear;2. слышать
receive;принимать /слушать
catch;расслышать
learn;услышать/узнать
attend;слушать
listen;слушать
listen in;подслушивать
3. recognize;3. узнать
know;знать/узнавать
place;узнать, вспоминать
4. think;4. думать
meditate;раздумывать
reflect;обдумывать
consider;рассматривать/обдумывать
judge;судить, формировать мнение после раздумья
deem;считать (чем-то) /думать
suppose;предполагать/думать
believe;думать/считать
5. imagine;5. представлять себе
conceive;представлять себе/задумать
picture;рисовать в воображении
envisage;предусматривать
visualize;представлять себе
think up;выдумать/придумать
envision;воображать
