1. understand;1. понимать
see;видеть, в смысле понимать
comprehend;постигать/понимать
grasp;схватить/уловить/понять
realize;осознать/понять
be aware;сознавать/понимать
2. teach;2. учить/обучать
instruct;обучать
train;обучать, тренировать
educate;обучать/давать образование
tutor;репетировать/давать частные уроки
school;обучать
drill;упражнять/упражняться
prepare;готовить/обучать
bring up;воспитывать/учить
3. explain;3. объяснять
clarify;пояснять
define;давать определение, объяснять
interpret;толковать/пояснять
display;показывать
demonstrate;демонстрировать
comment;пояснять/комментировать
convince;убеждать
prove;доказывать
evidence;доказывать
account (for);объяснять
clear up;выяснять
indicate;объяснять/показывать
4. remember;4. помнить
recollect;вспоминать/помнить
recall;помнить
bear in mind;помнить
know by heart;помнить наизусть
5. mean;5. значить/означать
signify;означать
indicate;обозначать/указывать На
denote;обозначать
imply;намекать/означать
hint;намекать
6. call;6. звать, называть
name;звать/давать имя
designate;называть/определить
term;давать название, определять
label;приклеить ярлык
define;определить/дать определение
specify;определять/называть
7. mistake;7. ошибаться
misunderstand;неверно понять
misjudge;неверно судить
misinterpret;неверно истолковать
en-;ошибаться
confuse;перепутать/смешивать
8. examine;8. проверять/экзаменовать
inspect;проверять/инспектировать
investigate;расследовать
scrutinize;пристально рассматривать
check;проверять
verify;перепроверять
review;пересматривать/повторять
test;проверять/испытывать
research;исследовать
explore;рассматривать/исследовать
study;изучать
analyze;анализировать
9. correct;9. исправлять
rectify;исправлять
emend;делать правки
better;улучшать/исправлять
Put right;исправлять
improve;улучшать/улучшаться
