1. calculate;1. вычислять
figure out;вычислять
reckon;подсчитывать
compute;вычислять
tally;подсчитывать
total;суммировать
to do arithmetic;вычислять
estimate;оценивать/исчислять
2. express;2. выражать
state;излагать/высказать
declare;заявлять/называть
show;показывать/объяснять
put into words;выражать словами
hint;намекать
imply;подразумевать
emphanize;подчеркивать
indicate;показывать/упоминать
stress;подчеркивать/делать ударение
point out;подчеркивать
describe;описывать
portray;изображать
characterize;характеризовать/описать
give a picture;описать словами
narrate;рассказывать
recount;рассказывать
represent;описывать/представлять
