1. consider;1. рассматривать
study;изучать/анализировать
think;думать/обдумывать
deliberate;обдумывать
reflect;раздумывать
contemplate;обдумывать
judge;судить/взвешивать
reckon;считать/рассматривать
regard;принимать во внимание
deem;считать/думать
2. suppose;2. предполагать
assume;предполагать
presume;предполагать
believe;считать/думать
think;думать
judge;судить (о чем-то) /оценивать
expect;предполагать/ожидать
guess;предполагать
imagine;предполагать/представлять
forecast;прогнозировать
foresee;предусмотреть
fancy;считать/полагать
3. discover;3. открыть, открывать
find;находить
find out;выяснять
learn;узнать
determine;определять
detect;обнаружить
4. invent;4. изобрести
create;создавать/сотворить
make up;выдумать
originate;создавать/порождать
devise;изобретать
design;проектировать/моделировать
contrive;изобретать
conceive;задумывать
develop;разрабатывать/создавать
imagine;создавать мысленный образ
5. prove;5. доказывать
verify;перепроверять/доказывать правильность
confirm;подтверждать
show;показывать, объяснять
demonstrate;демонстрировать
convince;убеждать
6. convince;6. убеждать
persuade;уговаривать
induce;побуждать/уговорить
influence;влиять/воздействовать
assure;уверять/заверять
7. resolve;7. решать/разрешать
solve;решать
settle;улаживать
determine;определять/решать
8. decide;8. принимать решение
choose;выбирать
resolve;решиться сделать
plan;планировать
fix;назначать/определять
set;назначать
determine;определять
intend;намереваться
