1. repair;1. ремонтировать
mend;исправлять/чинить
hatch;чинить/латать
restore;восстанавливать
renew;обновлять
adjust;подогнать
fix;ремонтировать/исправлять
correct;исправлять
put right;исправлять
2. change;2. менять, заменять
replace;заменять
substitute;подставлять, заменять (чем)
exchange;заменять
3. adjust;3. наладить, налаживать
set;установить/задать
regulate;регулировать
change;изменять
alter;изменять/переделывать
adapt;приспособлять
modify;модифицировать
4. use;4. использовать
utilize;использовать
employ;применять
apply;применять
5. act;5. действовать/работать
operate;работать/действовать
function;функционировать
work;работать
run;работать/быть включенным
go;работать
