1. take;1. брать
grasp;брать/хватать
hold;держать
catch;поймать
seize;схватить
take hold;держать/держаться
2. touch;2. касаться
feel;ощупывать
handle;трогать/обращаться
finger;трогать пальцем
contact;соприкасаться
3. pull;3. тянуть на себя
drag;тащить/волочить
draw;тянуть
tow;буксировать
haul;тянуть/тащить
jerk;дергать
wrench;крутить с усилием
wrest;вырывать
yank;дергать
trail;тянуть, волочить
4. push;4. толкать
shove;толкать
thrust;толкать
press;нажимать
force;затолкать (силой)
toss;вскидывать/кидать
nudge;толкать (локтем)
prod;тыкать
jab;тыкать
jog;подталкивать
bump;натолкнуться
5. throw;5. бросать
toss;подбрасывать/кидать
hurl;швырять
pitch;бросать/кидать
cast;бросать
fling;бросать/швырять
send;послать/бросить
knock;ударять/толкать
put;толкать (ядро)
drop;уронить/бросить
6. scatter;6. разбрасывать
spread;намазывать, размазывать
sprinkle;разбрызгивать
disperse;рассеивать
spill;проливать/просыпать
