1. connect;1. соединять
unite;объединять
join;соединять
combine;объединять
link;соединять
associate;соединять, ассоциировать
assemble;собирать
relate;связывать
knot;связывать узлом
2. fix;2. закреплять
attach;присоединять
fasten;прикреплять
rivet;приковать
pin;приколоть
tie;привязать
secure;закреплять
affix;прикреплять
bind;привязать
3. undo;3. отсоединять/отвязывать
unfasten;отсоединять/расстегнуть
untie;отвязать
separate;разделять
disconnect;отсоединять
divide;разделять
dissociate;разобщать
detach;отсоединять
disassemble;разбирать
dismantle;разбирать
partition;разделять/делить
isolate;изолировать/выделять
insulate;изолировать
split;раскалывать
sever;отрезать/порвать
