1. close;1. закрывать
shut;закрывать
lock;запирать
bolt;закрывать на засов
seal;заклеивать/замазывать/уплотнять
fill;заполнять/закрывать
block;блокировать/перекрывать
choke;забивать/перекрывать
stop;заделать
plug;заткнуть
clog;затыкать/перекрывать
2. cover;2. накрывать
overlay;покрывать
overlap;перекрывать
spread;покрывать
screen;заслонять
shield;заслонять/закрывать
insulate;изолировать
coat;покрывать
envelop;заворачивать
wrap;заворачивать
mask;маскировать
veil;вуалировать
shroud;окутывать
shelter;укрывать
3. open;3. открывать
unlock;отмыкать
unfasten;отстегнуть/открыть
unpack;распаковать
unwrap;распаковать/развернуть
uncover;снять крышку/открыть
strip;сдирать
bare;обнажать
reveal;раскрывать
expose;раскрывать
4. hide;4. прятать
conceal;прятать/скрывать
mask;маскировать
camouflage;маскировать
veil;вуалировать
cloak;прикрывать/маскировать
5.search;5. искать
look (for);искать
seek;искать
explore;обследовать
investigate;расследовать
research;исследовать
rummage;рыться
6. find;6. находить
discover;обнаружить
meet;встретить
encounter;встретить
learn;узнавать
detect;обнаружить
be aware;осознавать
locate;найти/разыскать
find out;узнавать, находить
