1. pour;1. лить
fill;наполнять
spill;проливать
shed;проливать
drip;капать
cast;отливать из металла
2. wash;2. мыть
dry-clean;чистить в химчистке
cleanse;чистить/обработать
clean;чистить
scrub;мыть щеткой
launder;стирать и гладить
flush;смывать
rinse;полоскать
3. wring;3. выкручивать/отжимать
squeeze;выжимать
twist;выкручивать
4. mix;4. смешивать
combine;сочетать/объединять
blend;смешивать
mingle;смешивать
dilute;разбавлять
add;добавлять
compound;смешивать
dissolve;растворять
stir;перемешивать
aggregate;смешивать
