1. calm;1. тихий, спокойный, бесшумный
quiet;тихий
still;тихий, бесшумный
placid;спокойный, безмятежный
serene;спокойный, тихий
mute;безмолвный
silent;молчащий, тихий
noiseless;бесшумный
2. loud;2. громкий
noisy;шумный
deafening;оглушающий
sonorous;звучный
thundering;как гром
ear-splitting;оглушающий
clamourous;шумный, крикливый
3. soft;3. тихий, нежный, приглушенный
low;тихий (голос)
muffled;приглушенный
feeble;слабый (о звуке)
gentle;тихий, спокойный, ласковый
muted;приглушенный
faint;слабый, тихий
subdued;приглушенный, тихий
hardly audible;еле слышный
subtle;еле уловимый
4. sharp;4. резкий
shrill;резкий, пронзительный
piercing;пронзительный
harsh;грубый, резкий, суровый
penetrating;пронзительный
raucous;хриплый
strident;резкий
high- pitched;резкий, высокий (голос)
hoarse;хриплый
5. vocal;5. голосовой, устный
voiced;устный, голосовой
oral;устный
uttered;произнесенный
verbal;устный, словесный
6. distinct;6. отчетливый
intelligible;понятный
enunciated;отчетливо произнесенный
expressive;выразительный
articulate;отчетливо произнесенный
fluent;беглый, быстрый
audible;слышный
7. pleasant;7. приятный
sweet;приятный
melodious;мелодичный
mellow;мягкий, сочный (голос)
tuneful;мелодичный
soft;мягкий, нежный
tender;нежный
