1. huge;1. огромный
immense;огромный
gigantic;гигантский
colossal;колоссальный
tremendous;огромный
enormous;огромный
bulky;большой, громоздкий
massive;массивный, большой
2. big;2. большой
large;большой
sizeable;порядочного размера
great;большой, великий
3. small;3. маленький
little;маленький
tiny;крошечный
diminutive;маленький
minute;мелкий, мельчайший
wee;крошечный
microscopic;микроскопический
4. long;4. длинный
lengthy;длинный
elongated;удлиненный, вытянутый
protracted;длительный
extended;протяженный
outstretched;протянутый
5. short;5. короткий
not long;не длинный
not tall;невысокий
stubby;коренастый
squat;приземистый
truncated;усеченный
stunted;низкорослый
runty;низкорослый
6. wide;6. широкий
broad;широкий
spacious;просторный
boundless;безграничный, бескрайний
wide-spread;широко раскинувшийся
ample;просторный, обширный
roomy;просторный
vast;безбрежный, обширный
extensive;обширный
7. narrow;7. узкий
incapacious;узкий
close;тесный
scant;ограниченный
cramped;стесненный
tight;тесный
restricted;ограниченный
confined;ограниченный
8. high;8. высокий
tall;высокий
lofty;очень высокий
sky-scraping;небоскреб, до неба
towering;высокий, возвышающийся
9. low;9. низкий
short;низкий (рост)
squat;коренастый
stumpy;приземистый
dumpy;коренастый
deep;низкий (уровень)
10. far;10. далекий
distant;далекий, отдаленный
far-off;отдаленный
remote;дальний
far-removed;далекий
out-of-the-way;отдаленный, удаленный
11. near;11. близкий
close;близкий
nearby;ближний
neighbouring;соседний, близкий
adjoining;прилегающий
adjacent;смежный
