1. horizontal;1. горизонтальный
flat;плоский
plane;плоский
even;ровный
parallel to the ground;параллельный земле
flush;находящийся на одном уровне
2. vertical;2. вертикальный
upright;вертикальный
plumb;отвесный
perpendicular;перпендикулярный
erect;вертикальный, прямой
steep;крутой
precipitous;крутой, отвесный
sheer;отвесный/крутой
3. straight;3. прямой
direct;прямой
unbent;неизогнутый
uncurving;прямой
4. curved;4. кривой
bent;изогнутый
angular;угловой
angled;угловой, согнутый под углом
twisted;перекрученный
tortuous;извилистый
stooped;сутулый
hunched;горбатый
bowed;изогнутый
crooked;кривой
zigzag;зигзагообразный
5. round;5. круглый
circular;круглый
spherical;сферический
globular;шаровидный
ball-shaped;шаровидный
