1. light;1. светлый
clear;ясный, светлый
bright;яркий, светлый
luminous;светящийся, светлый
lit;светлый, освещенный
illuminated;освещенный, светлый
glowing;ярко светящийся
radiant;сияющий, светящийся
2. brilliant;2. блестящий
shining;сияющий, блестящий
gleaming;блестящий
sparkling;искрящийся, блестящий
radiant;сияющий, светящийся
shimmering;мерцающий
3. transparent;3. прозрачный
clear;прозрачный, светлый
limpid;прозрачный
lucid;ясный, прозрачный
4. vivid;4. яркий, ясный
bright;яркий
intense;интенсивный
deep;насыщенный, густой
distinct;отчетливый
rich;богатый, яркий, интенсивный
5. dark;5. темный
shadowy;тенистый
unlit;неосвещенный
dim;темный, неясный
dusky;темный, сумеречный
murky;темный, пасмурный
gloomy;темный, мрачный
6. black;6. черный
dark;темный
sooty;черный, как сажа
inky;чернильный, кромешный
ebony;черный как смоль
swarthy;темный, смуглый
7. pale;7. бледный
white;белый
ashen;пепельный, мертвенно-бледный
colourless;бесцветный
wan;бледный, серый
pallid;мертвенно-бледный
8. rosy;8. розовый
pink;розовый, цветущий
reddish;красноватый
flushed;румяный
ruddy;румяный
florid;цветущий
9. distinct;9. отчетливый
clear;ясный, отчетливый
definite;определенный
plain;ясный
obvious;очевидный
10. nontransparent;10. непрозрачный
opaque;матовый, непрозрачный
impenetrable to light;непрозрачный для света
hazy;смутный, туманный
11. indistinct;11. неясный
vague;неясный
unclear;неясный
obscure;затемненный
dim;нечеткий
blurred;размытый, расплывчатый
