1. hard;1. твердый
solid;твердый
rigid;жесткий
firm;твердый, крепкий
stiff;жесткий
tough;жесткий
inflexible;негибкий
2. soft;2. мягкий
flexible;гибкий
elastic;эластичный
limp;мягкий, нежесткий
pliable;гибкий
supple;гибкий
velvety;бархатистый
3. rough;3. шероховатый
uneven;неровный
unpolished;неполированный
bumpy;ухабистый
unsmooth;шероховатый
4. smooth;4. гладкий
even;ровный
flat;плоский, ровный
level;плоский, ровный
5. sharp;5. острый
keen-edged;острый (край)
razor-sharp;острый как бритва
pointed;заостренный
edged;острый, режущий
cutting;режущий
acute;острый
6. blunt;6. тупой
edgeless;без острых граней
unpointed;незаостренный
unsharpened;незаточенный
dull;тупой
7. heavy;7. тяжелый
massive;массивный
weighty;тяжелый
bulky;грузный, большой
burdensome;обременительный
cumbersome;громоздкий, обременительный
8. light;8. легкий
lightweight;легковесный
weightless;невесомый, легкий
buoyant;легкий
gossamery;легкий как паутина
burdenless;необременительный
