1. long;1. долгий
unending;бесконечный
interminable;бесконечный
extended;продленный
drawn- out;протяжный, долгий
prolonged;продленный, долгий
protracted;затянувшийся, длительный
time-consuming;длительный
2. short;2. короткий
brief;короткий
quick;быстрый
momentary;мгновенный
immediate;немедленный
instantaneous;мгновенный
temporary;временный
fleeting;мимолетный, скоротечный
fugitive;беглый, мимолетный
ephemeral;эфемерный
3. early;3. ранний
premature;преждевременный
untimely;несвоевременный
advance;предварительный, авансовый
prior;предварительный, предшествующий
4. late;4. поздний
tardy;запоздалый
overdue;просроченный
dilatory;медлительный
delayed;задержанный
postponed;отложенный
put-off;отложенный
5. slow;5. медленный
snail-like;как черепаха
tortoise-like;как черепаха, медленно
unhurried;неспешный
leisurely;неторопливый
6. fast;6. быстрый
swift;быстрый
quick;быстрый, скорый
rapid;стремительный
speedy;скоростной
prompt;быстрый, срочный
abrupt;внезапный, резкий
immediate;немедленный
instant;мгновенный
hasty;поспешный, торопливый
7. old;7. старый
elderly;пожилой
aged;пожилой
ancient;древний
used;подержанный
worn;поношенный
faded;выцветший, увядший
old-fashioned;старомодный
out-of- date;устаревший
obsolete;устаревший
unfashionable;немодный
8. new;8. новый
modern;современный
up-to-date;современный
fresh;свежий
novel;новый, нетрадиционный
current;текущий
renewed;обновленный
brand-new;новенький
recently acquired;недавно приобретенный
lately/newly issued;недавно выпущенный
