1. present;1. настоящий, текущий, современный
current;текущий
existent;существующий
contemporary;современный
modern;современный
immediate;непосредственный, текущий
2. past;2. прошлый
elapsed;истекший
expired;истекший
bygone;прошедший, прошлый
prior;предварительный, прежний
preceding;предшествующий
previous;предыдущий
last;прошлый (о годе, месяце..)
former;прежний, бывший
3. future;3. будущий
coming;будущий, приближающийся
prospective;будущий
impending;предстоящий, надвигающийся
approaching;приближающийся
next;будущий (о годе, месяце)
4. initial;4. начальный
starting;начальный
primary;первичный, начальный
introductory;вводный
original;первоначальный
5. final;5. конечный
last;последний
closing;заключительный
ultimate;последний
concluding;заключительный
terminating;завершающий
complete;законченный
definitive;окончательный
exhaustive;исчерпывающий
irrevocable;безвозвратный, бесповоротный
