1. eternal;1. вечный
everlasting;вечный
immortal;бессмертный
permanent;постоянный
perpetual;вечный
endless;бесконечный
deathless;бессмертный
imperishable;нерушимый, нетленный
stable;стабильный, устойчивый
2. continuous;2. непрерывный
continual;непрерывный
durable;длительный
constant;постоянный
successive;последовательный, непрерывный
steady;неуклонный, постоянный
gradual;постепенный
uninterrupted;непрерывный
unbroken;непрерывный
progressive;длительный, постепенный
3. periodic;3. периодический
repeated;повторяющийся
recurrent;повторяющийся
intermittent;прерывистый
cyclic;циклический
regular;регулярный
4. rare;4. редкий
infrequent;нечастый
seldom found;редко встречающийся
occasional;случайный
scarce;редкий
unique;уникальный
exceptional;исключительный
unusual;необычный
5. frequent;5. частый
oft-repeated;часто повторяющийся
recurrent;повторяющийся
occurring often;происходящий часто
reiterative;повторяющийся
6. sudden;6. внезапный
unexpected;неожиданный
unprepared;неподготовленный
impromptu;импровизированный
off-hand;импровизированный
urgent;срочный
sharp;резкий
7. usual;7. обычный
customary;привычный
expected;ожидаемый
accustomed;привычный
established;установившийся
ordinary;обычный, обыкновенный
regular;регулярный
standard;стандартный
traditional;традиционный
normal;нормальный
