1. gifted;1. одаренный
talented;талантливый
natural;природно-одаренный
born;прирожденный
cut out for smth;прирожденный
good;способный (к чему-то)
inborn;врожденный
hopeful;подающий надежды
2. clever;2. умный
intelligent;умный
smart;способный, умный
bright;сообразительный
wise;мудрый
sly;хитрый
sage;мудрый
penetrating;проницательный
perceptive;проницательный, тонкий
judicious;рассудительный
sharp;острый (ум)
keen;чуткий, тонкий
perspicacious;проницательный
profound;глубокий
prudent;разумный
sensible;благоразумный
sane/sound;здравый
shrewd;расчетливый
mental;умственный
ingenious;остроумный, блестящий
subtle;тонкий
sharp- witted;остроумный
intellectual;интеллектуальный
artful;хитрый
crafty;хитрый
cunning;хитрый
creative;творческий
agile;живой (ум)
3. erudite;3. эрудированный
learned;ученый
well-educated;образованный
well-versed;сведущий
cultured;культурный
versatile;разносторонний
prominent;выдающийся
highly literate;высокообразованный
distinguished;выдающийся
4. creative;4. творческий
inventive;изобретательный
original;оригинальный
resourceful;находчивый
imaginative;с большим воображением
ingenious;изобретательный
fresh;свежий, новый
novel;новый, новаторский
