1. mediocre;1. посредственный
average;средний
undistinguished;невыдающийся
ordinary;обычный
common;обычный
2. silly;2. глупый
stupid;глупый
dumb;глупый, бессловесный
dim-witted;тупой
ignorant;невежественный
primitive;примитивный
narrow-minded;ограниченный
idiotic;идиотский
imbecile;слабоумный
dull;тупой
foolish;дурацкий, глупый
backward;отсталый
retarded;отсталый
hopeless;безнадежный, беспомощный
nitwitted;простофиля, балбес
dunce;тупица
booby;болван, балбес
dopey;глупый
short-sighted;близорукий, недальновидный
3. disabled;3. нетрудоспособный
handicapped;с физическими недостатками
mutilated;искалеченный
crippled;искалеченный, калека
blind;слепой
deaf;глухой
dumb;немой
4. insane;4. душевнобольной
mentally deranged;помешанный
mad;сумасшедший
crazy;безумный
unsound;не в своем уме
demented;помешанный
maniacal;маниакальный
bereft of reason;умалишенный
schizophrenic;шизофреник
