1. diligent;1. прилежный
industrious;энергичный, прилежный
hardworking;трудолюбивый
earnest;серьезный
persevering;упорный
active;активный
sedulous;усидчивый
assiduous;усидчивый
persistent;настойчивый
studious;старательный
patient;терпеливый
strenuous;напряженный
conscientious;сознательный
concentrated;сконцентрированный
intense, intensive;напряженный, интенсивный
2. zealous;2. усердный, рьяный
eager;усердный, страстный
fervent;пылкий
ardent;пылкий, увлеченный
enthusiastic;полный энтузиазма
animated;оживленный, увлеченный
vehement;пылкий
devoted;преданный
fanatic;фанатический
passionate;страстный
interested;заинтересованный
willing;добровольный, старательный
keen;интересующийся
curious;любопытный
inspired;воодушевленный
dedicated;преданный
3. attentive;3. внимательный
heedful;внимательный
engrossed;увлеченный
mindful;отдающий отчет, внимательный
intent;пристальный
alert;бдительный
inquisitive;пытливый, любознательный
awake;осознающий
vigilant;бдительный
watchful;бдительный
observant;наблюдательный
concerned;заинтересованный, озабоченный
scrupulous;добросовестный, скрупулезный
careful;внимательный, заботливый
4. accurate;4. аккуратный, точный
thorough;тщательный
painstaking;старательный, тщательный
exhaustive;исчерпывающий
meticulous;аккуратный, дотошный
punctual;аккуратный, пунктуальный
precise;точный
exact;точный
strict;точный, строгий
5. lazy;5. ленивый
idle;праздный, без дела
indolent;ленивый, вялый
inert;инертный, ленивый
inactive;пассивный
slothful;ленивый, инертный
slack;вялый
sluggish;медлительный, вялый
6. indifferent;6. безразличный
listless;вялый, апатичный
neglectful;небрежный, невнимательный
sluggish;медлительный, вялый
lacking zest;незаинтересованный, неувлеченный
lackadaisical;халатный, нерадивый
7. distracted;7. рассеянный
absent-minded;рассеянный
forgetful;забывчивый
unheeding;невнимательный
preoccupied;погруженный в мысли, не замечающий окружающих
absorbed in thought;погруженный в мысли
inattentive;невнимательный
careless;невнимательный
