1. experienced;1. опытный
practiced;опытный, умелый
accomplished;отточенный, совершенный
trained;тренированный, обученный
accustomed;привыкший
seasoned;зрелый
qualified;квалифицированный
well-versed;сведущий
conversant;осведомленный, сведущий
expert;эксперт, знаток
pragmatic;прагматичный, практичный
competent;компетентный, знающий
sophisticated;искушенный, утонченный
master;мастерский
familiar;привычный
2. inexperienced;2. неопытный
inexpert;неопытный
untrained;необученный
unpractised;неумелый
unschooled;необученный
untried;неиспытанный
uninitiated;непосвященный
green;зеленый, неопытный
callow;зеленый, неопытный
fresh;новичок
unfamiliar;непривычный
unversed;несведущий
unaccustomed;непривыкший
unconversant;несведущий
unsophisticated;неискушенный
3. skillful;3. умелый
proficient;искусный, умелый
qualified;квалифицированный
accomplished;искушенный, опытный
professional;профессиональный
masterful;мастерский
masterly;мастерский
apt;способный, умелый
adept;эксперт, искушенный
handy;ловкий, искусный
slick;умелый, проворный
wieldly;умелый в обращении с чем-то
efficacious;эффективный, действенный
productive;продуктивный
efficient;эффективный, расторопный
4. dexterous;4. ловкий, проворный
deft;ловкий
nimble;проворный
agile;проворный
adroit;ловкий, проворный
quick;быстрый, проворный
fluent;беглый
smart;умелый, способный
5. unskillful;5. неумелый
unwieldy;неумелый
unqualified;неквалифицированный
incompetent;некомпетентный
unskilled;неискушенный
inept;неумелый
unhandy;неумелый
unaccomplished;незрелый, несовершенный
non-professional;непрофессиональный
amateurish;любительский
inexperienced;неопытный
bungling;неумелый, халтурщик
placid;спокойный, невозмутимый
restful;спокойный
6. awkward;6. неуклюжий
clumsy;неуклюжий
uncoordinated;некоординированный
graceless;неграциозный, неприглядный
blundering;неуклюжий
gauche;неуклюжий
ungainly;нескладный
maladroit;неуклюжий
