1. good;1. хороший
satisfactory;удовлетворительный
nice;хороший/приятный
fine;хороший/прекрасный
suitable;подходящий
pleasant;приятный
agreeable;приятный
kind;добрый
valid;действительный
sufficient;достаточный
advantageous;выгодный
healthy;здоровый
2. bad;2. плохой
evil;злой, дурной
immoral;аморальный
dishonest;нечестный
unsatisfactory;неудовлетворительный
unskilled;неумелый
inefficient;неэффективный
disadvantageous;невыгодный
useless;бесполезный
wrong;неправильный
valueless;не имеющий ценности
false;фальшивый
insufficient;недостаточный
nasty;противный, отвратительный
naughty;шаловливый, непослушный
3. excellent;3. отличный
superior;лучший
perfect;совершенный
fine;прекрасный
stately;величественный
magnificent;великолепный
splendid;великолепный
gorgeous;прекрасный
brilliant;блестящий
wonderful;чудесный
majestic;величественный
exquisite;прекрасный
superb;превосходный
fabulous;сказочный
great;великолепный
impeccable;безупречный
best;лучший
kingly;величественный, шикарный
fantastic;фантастический
4. abominable;4. отвратительный
loathsome;отвратительный
very unpleasant;очень неприятный
ternDie;ужасный
awful;ужасный
repulsive;отталкивающий
horrible;ужасный
gruesome;ужасный, жуткий
revolting;отвратительный
disgusting;противный
hideous;отвратительный, уродливый
detestable;отвратительный
appalling;ужасный, вопиющий
monstrous;ужасный, страшный
5. interesting;5. интересный
absorbing;захватывающий
arresting;поражающий, захватывающий
stimulating;привлекательны и
inviting;привлекательный, заманчивый
attractive;привлекательный
appealing;привлекательный
fetching;привлекательный
entertaining;занимательный, интересный
engaging;привлекательный, подкупающий
pleasing;приятный
popular;популярный
fascinating;увлекательный
favourite;любимый
curious;любопытный
riveting;захватывающий
catchy;легко запоминающийся
amusing;занимательный, забавный
exciting;волнующий, захватывающий
thrilling;захватывающий, волнующий
6. boring;6. скучный
unexciting;неувлекательный
tiresome;утомительный, надоедливый
monotonous;монотонный
tedious;скучный/утомительный
wearisome;утомительный
flat;неинтересный, плоский
stale;избитый, устаревший
insipid;бесцветный, пресный
humdrum;однообразный, будничный
dull;скучный
oppressive;угнетающий
slow;занудливый, медленный
7. beautiful;7. прекрасный
lovely;красивый, прелестный
pretty;красивый, приятный
good-looking;красивый
attractive;привлекательный
comely;миловидный
handsome;красивый (мужчина)
fair;прекрасный
bonny;красивый
admirable;восхитительный
wonderful;чудесный, прекрасный
splendid;великолепный
stunning;великолепный
8. charming;8. очаровательный
attractive;привлекательный
charismatic;очаровательный, харизматический
graceful;грациозный, изящный
winsome;привлекательный
entrancing;очаровательнвй
fascinating;захватывающий
sweet;милая
captivating;пленительный
alluring;манящий
engaging;располагающий, привлекательный
enthralling;захватывающий, увлекательный
enticing;заманчивый
bewitching;обворожительный, обаятельный
enchanting;очаровательный
fetching;привлекательный
irresistible;неотразимый
appealing;привлекательный
9. ugly;9. уродливый
unattractive;непривлекательный
unsightly;некрасивый, неприглядный
unseemly;неблаговидный
repulsive;отталкивающий
hideous;ужасный/уродливый
evil-looking;безобразный
monstrous;чудовищный
unbecoming;неприличный
frightful;страшный
homely;некрасивый, невзрачный
plain;некрасивый, невзрачный
ill-favoured;безобразный на лицо
