1. susceptible;1. чувствительный, чутки
sensitive;чувствительный
vulnerable;ранимый
readily impressed;впечатлительный
sensible;чувствительный
sympathetic;чуткий, отзывчивый.
responsive;чуткий
easily moved;чувствительный
alive;чувствительный
receptive;восприимчивый
disposed;расположенный(к чему-то)
emotional;душевный
touchy;обидчивый
2. indifferent;2. безразличный
insensible;нечувствительный
jmpervious;глух (к чему-то)
unsusceptible;нечувствительный
half-hearted;безразличный
uncaring;безразличный, наплевательский
tool;холодный
phlegmatic;флегматичный
3. hard-hearted;3. черствый
unfeeling;бесчувственный
callous;черствый, грубый
numb;безразличный, черствый
unsympathetic;нечуткий, черствый
heartless;бессердечный
unresponsive;нечуткий, холодный
dispassionate;бесстрастный
thick-skinned;толстокожий
4. calm;4. спокойный
collected;хладнокровный
composed;спокойный, хладнокровный
cool;хладнокровный
quiet;спокойный
serene;спокойный, безмятежный
tranquil;спокойный
unruffled;безмятежный
unperturbed;невозмутимый
self-possessed;хладнокровный
relaxed;расслабленный
pacific;мирный, способный
placid;спокойный, невозмутимый
restful;спокойный
5. irritable;5. раздражительный
touchy;обидчивый
oversensitive;обидчивый, раздражительный
peevish;раздражительный
fretful;раздражительный, капризный
nervous;нервозный
easily vexed;раздражительный
irascible;раздражительный
cantankerous;сварливый
hot-tempered;горячий
temperamental;темпераментный, вспыльчивый
