1. happy;1. счастливый
delighted;очень рад
pleased;довольный
blissful;блаженный
gratified;довольный
elated;ликующий
rapturous;восторженный
ecstatic;восторженный
exultant;ликующий
gleeful;радостный
transported;радостный
exuberant;жизнерадостный
fortunate;счастливый
2. glad;2. довольный
content;довольный
satisfied;удовлетворенный
gratified;довольный
complacent;самодовольный
cheerful;бодрый, веселый
light;веселый
joyful;радостный
merry;радостный, веселый
rejoiced;обрадованный
mirthful;веселый
lively;оживленный
high-spirited;в хорошем настроении
buoyant;жизнерадостный
3. optimistic;3. оптимистический
hopeful;полный надежд
confident;уверенный в будущем
enthusiastic;восторженный
encouraged;полный надежд
self-assured;самоуверенный
rosy;в розовом цвете, радужный
buoyant;жизнерадостный
exultant;жизнерадостный
4. unhappy;4. несчастный
depressed;подавленный
despondent;унылый, подавленный
dejected;унылый, удрученный
melancholic;меланхоличный
downcast;подавленный
crestfallen;унылый, настроенный
doleful;скорбный, жалобный
sad;грустный
sorrowful;горестный
sour;в дурном настроении
downhearted;унылый
upset;расстроенный
tragic;трагический
miserable;несчастный, жалкий
melancholy;меланхолический
mournful;траурный
low-spirited;в плохом настроении
5. pessimistic;5. пессимистический
despairing;отчаявшийся
disconsolate;неутешный
hopeless;безнадежный
wet-blanket;отравляющий радость
kill-joy;отравляющий радость
wretched;жалкий, убогий
gloomy;мрачный
discouraged;обескураженный
