1. agitated;1. взволнованный
disturbed;взволнованный
riffled;смущенный
aroused;возбужденный
tense;напряженный
troubled;тревожный, беспокойный
worried;обеспокоенный
heated;разгоряченный
excited;взволнованный
deeply moved;глубоко тронутый
affected;глубоко тронутый, растроганный
impressed;получивший сильное впечатление
enthusiastic;восторженный
2. moving;2. трогательный
affecting;трогательный
stirring;волнующий
emotional;эмоциональный
sentimental;сентиментальный
dramatic;драматический
thrilling;волнующий, захватывающий
rousing;волнующий
inspiring;воодушевляющий
spicy;пикантный
dazzling;ослепительный
sensational;сенсационный
breathtaking;захватывающий
stimulating;увлекающий
sad;печальный
touching;трогательный
pitiful;жалкий
pathetic;жалкий, плачевный
dismal;мрачный, тоскливый
3. frightened;3. испуганный
scared;испуганный
startled;испуганный, потрясенный
afraid;испуганный
fearful;опасающийся, беспокойный
terrified;в ужасе
terror- stricken;пораженный ужасом
alarmed;взволнованный, испуганный
anxious;встревоженный, озабоченный
apprehensive;опасающийся
nervous;встревоженный, нервозный
4. frightening;4. страшный
fearful;страшный
frightful;страшный
dreadful;ужасный, страшный
alarming;волнующий, тревожный
appalling;ужасный, вопиющий
macabre;жуткий
terrifying;ужасный
shocking;шокирующий
horrible;ужасный, страшный
awful;ужасный
terrible;ужасный
dangerous;опасный
threatening;угрожающий
menacing;угрожающий
5. surprised;5. удивленный
astonished;удивленный
amazed;удивленный
astounded;изумленный, пораженный
stupefied;ошеломленный
stunned;ошеломленный
puzzled;недоразумевающий
dazzled;пораженный, удивленный
perplexed;недоумевающий
flabbergasted;пораженный, остолбенелый
dumbfounded;ошарашенный
6. surprising;6. удивительный
astonishing;удивительный
amazing;удивительный
astounding;изумительный, поразительный
stupefying;ошеломляющий
puzzling;вызывающий недоумение
dazzling;ошеломляющий, поразительный
perplexing;вызывающий недоумение
overwhelming;подавляющий
unusual;необычный
sensational;сенсационный
quaint;причудливый, необычный
stupendous;потрясающий
strange;странный
7. insulting;7. оскорбительный
offensive;оскорбительный
abusive;оскорбительный, ругательный
rude;грубый, невежливый
impolite;невежливый
disrespectful;неуважительный
insolent;наглый
derogatory;оскорбительный, обидный
disparaging;оскорбительный, обидный
injuring;оскорбительный
provoking;провоцирующий, провокационный
8. insulted;8. оскорбленный
offended;оскорбленный
outraged;возмущенный
wounded;уязвленный
indignant;возмущенный
hurt;обиженный
piqued;уязвленный
affronted;оскорбленный
huffy;оскорбленный, возмущенный
9. angry;9. сердитый
furious;разъяренный
raging;свирепый
boiling;кипящий от гнева
exasperated;раздраженный
vexed;раздраженный
resentful;обиженный
irritated;раздраженный
irate;гневный
petulant;раздражительный
indignant;возмущенный
