1. decent;1. приличный
seemly;порядочный
respectable;приличный
proper;пристойный
decorous;приличный, пристойный
virtuous;добродетельный
moral;нравственный
correct;правильный
righteous;праведный
well-bred;воспитанный
reputable;солидный, с хорошей репутацией
polite;вежливый
honourable;честный
upright;честный
2. base;2. подлый, низменный
mean;подлый, низкий
vile;гадкий, мерзкий
despicable;презренный, подлый
immoral;аморальный
ignoble;неблагородный
scoundrelly;подлый, негодяйский
dishonorable;бесчестный
sinful;грешный, греховный
contemptible;презренный
wicked;злой, дурной
depraved;порочный
infamous;позорный, гнусный
villainous;злодейский
3. honest;3. честный
truthful;правдивый
fair;справедливый, честный
just;справедливый
lawful;законный
law-abiding;законный
proper;пристойный
blameless;невинный
scrupulous;совестливый
fair and square;честный
straight;прямой, откровенный
above-board;открытый, честный
frank;откровенный
candid;откровенный, чистосердечный
objective;объективный
trustworthy;заслуживающий доверия
4. dishonest;4. нечестный
untruthful;неправдивый
unfair;нечестный
unscrupulous;бессовестный
unlawful;незаконный
corrupt;продажный
fraudulent;мошеннический
false;ложный, фальшивый
lying;лживый
deceitful;обманчивый
foul;нечестный, гадкий, скверный
5. sincere;5. искренний
unaffected;непритворный
free from pretence;непритворный
natural;естественный, непринужденный
artless;бесхитростный
guileless;бесхитростный
ingenuous;простодушный
frank;откровенный
straightforward;прямой, открытый
forthright;прямодушный
earnest;искренний
whole-hearted;беззаветный
serious;серьезный
unfeigned;непритворный
undeceitful;правдивый
6. insincere;6. неискренний
feigned;притворный
pretended;притворный
deceitful;обманчивый
contrived;искусственный, наигранный
affected;притворный
devious;окольный
deceptive;обманчивый
secretive;скрытный
false;фальшивый
two-faced;двуличный
phoney;поддельный, липовый
7. innocent;7. невиновный
guiltless;невиновный
blameless;невиновный
faultless;безупречный
sinless;безгрешный
irreproachable;безупречный
upright;праведный, честный
untainted;незапятнанный
unstained;чистый, незапятнанный
uncorrupted;неподкупный
unblemished;невиновный, незапятнанный
8. guilty;8. виновный
culpable;виновный
justly charged;справедливо обвиненный
blamable;виновный
9. criminal;9. криминальный, преступный
illegal;незаконный
lawbreaking;противозаконный
crooked;нечистый, незаконный
delinquent;виновный
felonious;преступный, уголовный
