1. friendly;1. дружеский
kind;добрый
amiable;дружественный
considerate;чуткий, предупредительный
amicable;дружеский
well-disposed;благосклонный
thoughtful;заботливый, внимательный
helpful;отзывчивый, услужливый
devoted;преданный
affectionate;ласковый
genial;добродушный
cordial;сердечный
2. hostile;2. вразвдебный
unfriendly;недружелюбный
unkind;недобрый
ill-disposed;нерасположенный
incompatible;несовместимый
cold;холодный
malevolent;недоброжелательный
malicious;злобный
malignant;злобный
antagonistic;враждебный
bitter;озлобленный, жестокий
3. polite;3. вежливый
courteous;вежливый
well-mannered;воспитанный
well-behaved;благонравный
thankful;благодарный
civil;вежливый
respectful;уважительный
refined;утонченный
tactful;тактичный
considerate;предупредительный
diplomatic;дипломатичный
4. rough;4. грубый
rude;грубый
discourteous;невежливый
inconsiderate;невнимательный
uncivil;невежливый
disrespectful;неуважительный
impolite;невежливый
impudent;наглый
abusive;оскорбительный
saucy;дерзкий, нахальный
fresh;нахальный
peremptory;безапелляционный
5. tender;5. нежный
soft;мягкий
gentle;нежный, мягкий
considerate;чуткий, предупредительный
affectionate;ласковый
sentimental;сентиментальный
compassionate;сострадательный
fond;ласковый, нежный
delicate;нежный
sympathetic;отзывчивый, чуткий
6. impudent;6. нахальный, наглый
impertinent;дерзкий, нахальный
insolent;нахальный
bold;дерзкий, бесстыдный
brazen;бесстыдный
cheeky;наглый
bumptious;самонадеянный
brash;наглый, дерзкий
saucy;наглый
presumptuous;самонадеянный
7. generous;7. щедрый
ungrudging;щедрый, добрый
hospitable;гостеприимный
lavish;щедрый, обильный
liberal;щедрый
munificent;щедрый
bountiful;щедрый, обильный
selfless;бескорыстный
8. wasteful;8. расточительный
prodigal;расточительный
extravagant;расточительный
uneconomical;неэкономный
thriftless;небережливый, неэкономный
spendthrift;расточительный
liberal;щедрый, расточительный
9. thrifty;9. бережливый
economical;экономный
saving;сберегающий
frugal;бережливый
closefisted;скупой, прижимистый
parsimonious;скупой
penurious;скупой
sparing;скупой
10. stingy;10. скупой
miserly;скупой
closefisted;скупой
parsimonious;скупой
penny-pinching;скупой
greedy;жадный
avaricious;жадный
avid;жадный
selfish;корыстный
covetous;жадный
