1. communicative;1. общительный
unreserved;общительный, откровенный
sociable;общительный
open;открытый
affable;приветливый
outgoing;общительный, компанейский
companionable;компанейский
extroverted;экстраверт
convivial;дружелюбный
2. reserved;2. замкнутый
aloof;отчужденный
reticent;сдержанный, молчаливый
distant;сухой, отдаленный
unsociable;необщительный
uncommunicative;неразговорчивый
solitary;обособленный, одинокий
reclusive;отшельнический, уединенный
introverted;интровертный
secretive;скрытный
3. talkative;3. разговорчивый, болтливый
wordy;многословный
verbose;многословный
gossipy;сплетничающий
loquacious;разговорчивый, болтливый
garrulous;говорливый, болтливый
gabby;болтливый, разговорчивый
prolix;многословный
4. taciturn;4. молчаливый
reserved;сдержанный
close-mouthed;молчаливый
tight-lipped;замкнутый
silent;молчаливый, безмолвный
quiet;молчаливый, тихий
uncommunicative;неразговорчивый
5. obedient;5. послушный
obeying;покорный, послушный
dutiful;послушный
amenable;податливый, уступчивый
submissive;покорный
yielding;податливый, уступчивый
docile;послушный, покорный
subservient;раболепный, безропотный
compliant;уступчивый
tame;покорный
6. disobedient;6. непослушный
disobeying;непослушный
contrary;упрямый, своевольный
wayward;капризный, упрямый
recalcitrant;непокорный, строптивый
unruly;непокорный, буйный
undutiful;непослушный
stubborn;упрямый
obstinate;упрямый
defiant;вызывающий
7. strict;7. строгий
severe;строгий, суровый
stringent;строгий
exacting;требовательный, взыскательный
rigorous;строгий
uncompromising;бескомпромиссный
rigid;жесткий, строгий
stern;строгий, суровый
8. mild;8. мягкий, добрый, терпимый
tolerant;терпимый
forgiving;снисходительный
lenient;снисходительный
permissive;нестрогий, снисходительный
indulgent;снисходительный
soft;мягкий
easy-going;уживчивый, добродушный
forbearing;терпеливый
good-natured;добродушный
patient;терпеливый
9. true;9. верный
faithful;верный
loyal;лояльный, верный
steadfast;стойкий
dependable;верный, надежный
trusty;верный, надежный
devoted;преданный
constant;постоянный
staunch;верный, стойкий
responsible;ответственный
reliable;надежный
steady;устойчивый, постоянный
10. unstable;10. неустойчивый, непостоянный
fickle;капризный, непостоянный
changeable;изменчивый
inconstant;непостоянный
unfaithful;неверный
wavering;колеблющийся, неуверенный
unpredictable;непредсказуемый
inconsistent;непоследовательный
whimsical;капризный, прихотливый
capricious;капризный
fitful;порывистый
11. treacherous;11. предательский
traitorous;предательский
treasonous;предательский
faithless;неверный
disloyal;вероломный, неверный
deceitful;обманчивый
tricky;хитрый
unfaithful;неверный
false;лицемерный, фальшивый
