1. systematized;1. систематический
systematic;систематический
ordered;упорядоченный
classified;классификационный
arranged;упорядоченный
grouped;сгруппированный
listed;перечисленный, названный в списке
labeled;маркированный, помеченный
subdivided;подразделенный
catalogued;каталогизированный
categorized;разбитый на категории
definite;определенный
defined;определенный
2. disordered;2. беспорядочный
chaotic;хаотический
amorphous;аморфный, бесформенный
messy;неопрятный, в беспорядке
jumbled;перепутанный, беспорядочный
unsystematized;несистематизированный
mixed;смешанный/неопределенный/неоговоренный
3. definite;3. определенный
precise;точный
exact;точный
emphatic;категорический, подчеркнутый
clear;ясный
obvious;очевидный
pronounced;ярко выраженный
evident;очевидный
distinct;отчетливый
doubtless;несомненный
concrete;конкретный
detailed;детальный
conspicuous;заметный, бросающийся в глаза
4. indefinite;4. неопределенный
undetermined;неопределенный
inexact;неточный
indistinct;неотчетливый
vague;смутный, неясный
obscure;смутный, неясный
ambiguous;двусмысленный
amorphous;аморфный, бесформенный
doubtful;сомнительный
puzzling;загадочный
5. complicated;5. сложный
complex;сложный
sophisticated;сложный, утонченный
intricate;сложный, запутанный
composite;составной, комплексный
involved;запутанный
6. simple;6. простой
elementary;элементарный
uncomplicated;несложный
uninvolved;ясный, незапутанный
unsophisticated;простой
basic;основной, первоначальный
7. general;7. общий
comprehensive;всесторонний, всеобъемлющий
overall;общий
generalized;обобщенный
generic;родовой, общий
abstract;абстрактный
total;общий, суммарный
8. special;8. специальный
concrete;конкретный
particular;особенный
detailed;детальный
limited;ограниченный
9. typical;9. типичный
representative;характерный
average;средний
standard;стандартный
ordinary;обыкновенный
normal;нормальный
regular;регулярный/обычный
usual;обычный
10. exceptional;10. исключительный
extraordinary;экстраординарный
abnormal;ненормальный
singular;единичный
unique;уникальный
rare;редкий
unusual;необычный
