1. equal;1. равный, одинаковый
the same;тот же самый
identical;идентичный
matched;сочетающийся
like;похожий, такой же
equivalent;эквивалентный
analogous;аналогичный
2. similar;2. похожий
like;похожий
comparable;сравнимый
analogous;аналогичный
close;близкий, схожий
approximate;приблизительный
parallel;похожий, сравнимый
akin;родственный, сродни
resembling;схожий
matching;подходящий, похожий
3. different;3. различный
unlike;непохожий
diverse;различный
opposite;противоположный
alternative;альтернативный
contrary;противоположный
disagreeing;различающийся, несогласующийся
disparate;различный, несопоставимый
sundry;различный, разный
remote;отдаленный
various;разнообразный
4. main;4. главный
principal;главный
leading;ведущий
central;центральный
chief;главный
primary;основной
paramount;верховный, первостепенный
staple;основной, главный
basic;основной, базовый
vital;жизненно важный, несущий
fundamental;фундаментальный
major;важный, главный
superior;высший
5. secondary;5. второстепенный
auxiliary;вспомогательный
subordinate;подчиненный
second-rate;второразрядный
inferior;низший
ancillary;вспомогательный
minor;незначительный/второстепенный
6. important;6. важный
significant;значительный
meaningful;многозначительный
momentous;знаменательный, важный
serious;серьезный
influential;влиятельный
considerable;значительный
paramount;верховный, первостепенный
crucial;решающий, критический
vital;жизненно важный
profound;глубокий
major;важный, главный
essential;существенный
radical;радикальный
basic;основной
fundamental;фундаментальный
consequential;влекущий последствия
decisive;решающий
7. insignificant;7. незначительный
unimportant;неважный
inconsequential;не имеющий последствий
inconsiderable;незначительный
slight;легкий, незначительный
unnecessary;ненужный
negligible;ничтожный
non-essential;несущественный
trivial;ничтожный, пустяковый
minor;незначительный, второстепенный
trifling;ничтожный, пустяковый
8. excellent;8. отличный, совершенный
high-quality;высококачественный
finest;прекрасный
superior;высший
faultless;безупречный
flawless;безукоризненный
exclusive;исключительный
perfect;совершенный
first-rate;первоклассный
top-notch;первоклассный
9. defective;9. дефектный
deficient;имеющий недостаток
imperfect;несовершенный
flawed;бракованный, с изъяном
inadequate;недостаточный, несоответствующий
rejected;забракованный
discarded;забракованный
faulty;дефектный, неправильный
10. easy;10. легкий
simple;простой
effortless;гладкий, сделанный без усилш
light;легкий
not difficult;нетрудный
not hard;нетрудный, нетяжелый
not burdensome;необременительный
uncomplicated;несложный
facile;легкий
11. difficult;11. трудный
hard;тяжелый, трудный
burdensome;обременительный
strenuous;наряженный
exhausting;изнуряющий
toilsome;трудный, напряженный
troublesome;беспокойный
complicated;сложный
intricate;запутанный
problematic;проблематичный
trying;трудный, тяжелый
exacting;трудный, кропотливый
ticklish;щекотливый
tedious;кропотливый, нудный
12. stable;12. стабильный, устойчивый
durable;прочный
safe;надежный/безопасный
secure;надежный, прочный, безопаснь
permanent;постоянный
unchangeable;неизменный
lasting;длительный, прочный
constant;постоянный
fixed;фиксированный, постоянный
13. variable;13. переменчивый
changeable;изменчивый
unstable;нестабильный
fluctuating;колеблющийся
shifting;меняющийся
developing;развивающийся
transient;преходящий, мимолетный
provisional;временный
temporary;временный
