1. single;1. одинокий, одиночный
only;единственный
sole;единственный
singular;единственный своеобразный
lone;одинокий
alone;один
individual;отдельный, индивидуальный
unique;уникальный, единственный
2. numerous;2. многочисленный
many;много, многие
profuse;обильный
copious;обильный
abundant;обильный
plentiful;обильный
multitudinous;многочисленный
innumerable;неисчислимый
numberless;бесчисленный
manifold;разнообразный
replete;изобилующий
overwhelming;подавляющий
3. maximum;3. максимальный
greatest possible;максимально возможный
optimum;оптимальный
utmost;максимальный, предельный
extreme;экстремальный, крайний
top;верхний
highest;высший
supreme;высший
extraordinary;чрезвычайный
surpassed;непревзойденный
4. minimum;4. минимальный
least possible;наименьший
smallest;наименьший
least;наименьший
lowest;наименьшее количество
infinitesimal;бесконечно малый
negligible;ничтожный
tiny quantity;крошечный
minor;незначительный
5. full;5. полный
filled;наполненный
brimful;наполненный до краев
flush;вровень с краями
replete;изобилующий
crammed;набитый, переполненный
bursting;полный, переполненный
packed;переполненный
teeming;кишащий
overwhelmed;переполненный
flooded;переполненный
6. empty;6. пустой
vacant;пустой, свободный
void;пустой
bare;пустой, голый
lacking;лишенный, испытывающий нехватку
absent;отсутствующий
missing;отсутствующий
deprived;лишенный
free;свободный, лишенный
7. whole;7. весь, полный, целый
entire;целый, весь
complete;полный
full;полный
total;весь, тотальный
exhaustive;исчерпывающий, полный
comprehensive;всеобъемлющий
universal;всеобщий
8. partial;8. частичный
fractional;дробный
incomplete;неполный
limited;ограниченный
separate;отдельный
restricted;ограниченный
9. sufficient;9. достаточный
enough;достаточный
plentiful;изобильный
adequate;адекватный, достаточный
copious;обильный
satisfactory;удовлетворительный
abundant;обильный
rich;богатый
10. insufficient;10. недостаточный
inadequate;недостаточный
scanty;скудный
deficient;недостаточный
wanting;недостаточный
sparse;редкий, незначительный
poor;бедный
lacking;имеющийся в недостаточном количестве
unsatisfactory;неудовлетворительный
not enough;недостаточный
short;недостаточный
scarce;редкий, дефицитный
11. excessive;11. избыточный
profuse;обильный
extreme;крайний, экстремальный
superfluous;избыточный
immoderate;неумеренный
unnecessary;ненужный
redundant;избыточный
surplus;избыточный
12. slight;12. небольшой
small;небольшой, малый
little;малый
modest;скромный, незначительный
limited;ограниченный
insignificant;незначительный
restricted;ограниченный
negligible;ничтожный
infinitesimal;бесконечно малый
13. moderate;13. умеренный
average;средний
medium;средний
modest;скромный
middling;средний, посредственный
normal;нормальный
usual;обычный
ordinary;обыкновенный
14. intense;14. интенсивный
great;большой, крупный
concentrated;концентрированный
acute;острый, интенсивный
sharp;резкий
strong;сильный
violent;бурный, неистовый
pronounced;ярко выраженный
