1. theoretical;1. теоретический
abstract;абстрактный
conceptual;концептуальный, понятийный
general;общий, обобщенный
scientific;научный
imaginary;воображаемый
hypothetical;предполагаемый
potential;потенциальный
2. practical;2. практический, практичный
realistic;реалистический
pragmatic;прагматичный, практичный
utilitarian;утилитарный
factual;фактический
useful;полезный
applied;прикладной
feasible;осуществимый
real;реальный
applicable;применимый
3. absolute;3. абсолютный
unrestricted;неограниченный
unlimited;неограниченный
unqualified;безоговорочный, безусловный
unbounded;неограниченный
complete;полный
supreme;высший
perfect;совершенный
categorical;категоричный
4. real;4. реальный
genuine;настоящий, подлинный
actual;фактический, действительный
authentic;подлинный
true;настоящий, истинный
factual;фактический
veritable;настоящий, истинный
truthful;правдивый
substantial;солидный, существенный
essential;существенный
5. conditional;5. условный
limited;ограниченный
restricted;ограниченный
dependent;обусловленный
qualified;оговоренный, обусловленный
contingent;зависящий от обстоятельств, случайный
6. regular;6. регулярный, закономерный
established;установленный
fixed;установленный
natural;естественный
unchanging;неизменный
constant;постоянный
necessary;необходимый
steady;постоянный, устойчивый
standard;стандартный
normal;нормальный
typical;типичный
habitual;привычный
recurrent;повторяющийся
explicable;объяснимый
7. occasional;7. случайный
sporadic;спорадический
intermittent;прерывистый
random;произвольный, случайный
inexplicable;необъяснимый
irregular;нерегулярный
incidental;случайный
exceptional;исключительный
8. fantastic;8. фантастический
implausible;невероятный
unbelievable;невероятный
incredible;невероятный
fanciful;причудливый, фантастический
imaginary;воображаемый
visionary;несбыточный, призрачный
unreal;нереальный
invented;вымышленный, выдуманный
fictitious;вымышленный
fancied;воображаемый
illusory;иллюзорный
fabulous;сказочный
mythical;мифический
9. necessary;9. необходимый
obligatory;обязательный
compulsory;принудительный, обязательный
indispensable;неотъемлемый
crucial;решающий, критический
requisite;необходимый
required;требующийся
imperative;необходимый, настоятельный
10. possible;10. возможный
potential;потенциальный
thinkable;мыслимый
reasonable;разумный
feasible;осуществимый
practicable;осуществимый
conceivable;возможный, мыслимый
logical;логичный
11. inevitable;11. неизбежный
unpreventable;неизбежный неотвратимый
predetermined;предопределенный
destined;предопределенный
imperative;необходимый, настоятельный
12. hypothetical;12. предполагаемый
supposed;предполагаемый
assumed;предполагаемый
theoretical;теоретический
conjectural;предположительный
possible;возможный
imaginary;воображаемый
suppositional;предположительный
postulated;предположительный
