1. correct;1. правильный
accurate;точный
right;правильный, верный
faultless;безошибочный
flawless;безупречный
adequate;адекватный
exact;точный
authentic;подлинный, правильный
true;верный
valid;действительный
2. wrong;2. неправильный
incorrect;неправильный
erroneous;ошибочный
untrue;неверный
inaccurate;неточный
mistaken;ошибочный
faulty;дефектный, неправильный
fallacious;ложный, ошибочный
illogical;нелогичный
inexact;неточный
ambiguous;двусмысленный
3. precise;3. точный
exact;точный
definite;определенный
explicit;точный, определенный
accurate;точный
scrupulous;скрупулезный, тщательный
correct;правильный
incisive;ясный, убедительный
distinct;отчетливый
4. approximate;4. приблизительный
rough;грубый, приблизительный
estimated;оценочный, приблизительный
inexact;неточный
nearly accurate;почти точный
implicit;подразумеваемы й
5. truthful;5. правдивый
true;верный
honest;честный
correct;правильный
accurate;точный
reliable;надежный
authentic;подлинный
6. untrue;6. неверный
wrong;неправильный
unfounded;необоснованный
invalid;недействительный
misleading;обманчивый
deceptive;обманчивый
deceiving;обманчивый
factitious;ложный, искусственный
faked;поддельный, притворный, фальшивый
7. appropriate;7. подходящий
suitable;подходящий
proper;подходящий, правильный
fitting;подходящий
apt;уместный, удачный
relevant;относящийся к делу
opportune;подходящий, своевременный
compatible;совместимый
pertinent;уместный
8. inappropriate;8. неподходящий
improper;неподходящий
unsuitable;неуместный, неподходящий
unfitting;неподходящий
wrong;неправильный
incompatible;несовместимый
inopportune;неуместный, несвоевременный
irrelevant;не относящийся к делу
9. legal;9. законный
lawful;законный
permissible;дозволенный, разрешенный
rightful;законный
sanctioned;санкционированный
authorized;уполномоченный, дозволенный
legitimate;законный
constitutional;конституционный
10. illegal;10. незаконный
unlawful;незаконный
illegitimate;незаконный
illicit;недозволенный
prohibited;запрещенный
unsanctioned;несанкционированный
banned;запрещенный
unauthorized;несанкционированный
criminal;преступный
11. standard;11. стандартный
basic;базовый, основной
universal;универсальный
accepted;ПРИНЯТЫЙ
stock;стандартный
regular;постоянный, обычный
normal;нормальный
typical;типичный
12. non-standard;12. нестандартный
exceptional;исключительный
irregular;необычный, неправильный
unique;уникальный
rare;редкий
singular;единичный
odd;странный
queer;странный
13. logical;13. логический, логичный
reasonable;резонный, логичный
consistent;логичный, согласующийся
cogent;убедительный
sound;здравый, благоразумный
intelligent;разумный
relevant;относящийся к делу
pertinent;относящийся к делу
congruent;согласующийся
analytical;аналитический
14. illogical;14. нелогичный
inconsistent;несогласующийся
unreasonable;неразумный, непомерный
fallacious;ложный, нелогичный
contradictory;противоречивый
erroneous;ошибочный
incongruous;несогласующийся
unsound;неразумный
absurd;абсурдный
preposterous;нелепый, абсурдный
15. normal;15. нормальный
usual;обычный
standard;стандартный
ordinary;обыкновенный
natural;естественный
typical;типичный
common;обычный
average;средний
customary;привычный, обычный
traditional;традиционный
conventional;обычный
stereotyped;стереотипный
16. unusual;16. необычный
unnatural;неестественный
irregular;неправильный, необычный
aberrant;ненормальный
deviant;отклоняющийся
exceptional;исключительный
extraordinary;экстраординарный
unexpected;неожиданный
strange;странный
peculiar;своеобразный
rare;редкий
queer;странный
odd;странный
eccentric;эксцентричный
curious;странный
abnormal;аномальный
anomalous;аномальный
