1. advantageous;1. выгодный, благоприятный
beneficial;выгодный
helpful;полезный
useful;полезный
fruitful;плодотворный
valuable;ценный
profitable;доходный
time-saving;сберегающий время
favourable;благоприятный
successful;успешный
propitious;благоприятный
contributive;способствующий
constructive;конструктивный
promising;многообещающий
conducive;располагающий, способствующий
2. disadvantageous;2. невыгодный, неблагоприятный
unfavourable;неблагоприятный
adverse;неблагоприятный
unpropitious;неблагоприятный
obstructive;обструкционный, препятствующий
detrimental;разрушительный
destructive;разрушительный
unprofitable;недоходный
fruitless;бесплодный
worthless;бесполезный
3. useful;3. полезный
practical;практичный
serviceable;полезный, пригодный
helpful;полезный
beneficial;благоприятный
worthwhile;стоящий
functional;функциональный, рациональный
effectual;эффективный
convenient;удобный
time-saving;сберегающий время
handy;удобный
healthy;здоровый, полезный
expedient;целесообразный, выгодный
4. useless;4. бесполезный
worthless;бесполезный
unserviceable;бесполезный
unhelpful;бесполезный
impracticable;непрактичный
inefficient;неэффективный
vain;напрасный
fruitless;бесплодный
profitless;неприбыльный
futile;напрасный
5. productive;5. продуктивный
effectual;эффективный
efficient;эффективный
efficacious;эффективный
fruitful;плодотворный
accomplishing;эффективный
expedient;целесообразный
creative;творческий, созидающий
6. unproductive;6. непродуктивный, напрасный
inefficient;неэффективный
impractical;непрактичный
fruitless;бесплодный
ineffective;неэффективный
inadequate;неадекватный
wasteful of time;пустая трата времени
inefficacious;неэффективный
slack;незагруженный, простойный
7. harmful;7. вредный
dangerous;опасный
injurious;вредный
hurtful;вредный
destructive;разрушительный
damaging;вредный
unwholesome;нездоровый, вредный
unhealthy;нездоровый, вредный
detrimental;вредный
adverse;неблагоприятный
bad;плохой, вредный
pernicious;пагубный
malignant;пагубный, злокачественный
8. harmless;8. безвредный
safe;безопасный
benign;доброкачественный, благотворный
inoffensive;безобидный
not dangerous;неопасный
non-toxic;неядовитый
9. profitable;9. доходный, прибыльный
gainful;доходный, прибыльный
rewarding;выгодный, полезный
yielding;доходный, плодотворный
paying;рентабельный
moneymaking;доходный
economical;экономичный, выгодный
remunerative;выгодный, доходный
fruitful;плодотворный
lucrative;прибыльный
10. unprofitable;10. недоходный, неэкономичный
unpaying;нерентабельный
unyielding;нерентабельный
gainless;недоходный
unrewarding;невыгодный
fruitless;бесплодный
uneconomical;неэкономичный
wasteful;расточительный, убыточный
losing;проигрышный, убыточный
11. expensive;11. дорогой
costly;дорогостоящий
high-priced;дорогой
dear;дорогой
exorbitant;непомерный, баснословный
unreasonable;непомерный
uneconomical;неэкономичный
overpriced;завышенный (по цене)
12. cheap;12. дешевый
reasonable;умеренный, разумный
modest;скромный
low-priced;недорогостоящий
economic;экономичный
cut-price;по сниженной цене
low-cost;дешевый
13. successful;13. успешный
victorious;победный
winning;победный
triumphant;победный, ликующий
fruitful;плодотворный
productive;продуктивный
effective;эффективный
14. unsuccessful;14. безуспешный, неудачный
futile;напрасный
vain;напрасный
useless;бесполезный
unavailing;безрезультатный
fruitless;безуспешный, напрасный
abortive;бесплодный, неудачный
unproductive;непродуктивный
ineffectual;неэффективный
15. healthful;15. здоровый, целебный
healthy;здоровый
wholesome;целебный
conducive to health;полезный для здоровья
salubrious;здоровый, целебный
salutary;благотворный
nutritious;питательный
beneficial;благотворный
nourishing;питательный
hygienic;гигиенический
16. unhealthy;16. нездоровый, вредный
unwholesome;нездоровый
detrimental;вредный
dangerous;опасный
harmful;вредный
insalubrious;нездоровый
