1. healthy;1. здоровый
able-bodied;трудоспособный
hale;здоровый
hearty;здоровый
robust;здоровый и сильный
hardy;крепкий, живучий
sound;здоровый
fit;в отличной форме
well;здоровый
2. ill;2. больной
sick;больной
unwell;нездоровый
infirm;немощный
ailing;болезненный
unsound;нездоровый
afflicted;страдающий (чем)
diseased;болеющий
poor;слабый здоровьем
unhealthy;нездоровый
indisposed;нездоровый
failing;слабый (здоровьем)
invalid;инвалид
unwell;нездоровый
3. energetic;3. энергичный
active;активный
vigourous;бодрый, энергичный
lively;живой, оживленный
spirited;живой, оживленный
animated;оживленный
forceful;энергичный
dynamic;динамичный
peppy;энергичный
lusty;крепкий, дюжий
4. tired;4. усталый
weary;утомленный
fatigued;утомленный
exhausted;выдохшийся
worn out;утомленный
spiritless;вялый
apathetic;апатичный
torpid;вялый
5. strong;5. сильный
athletic;атлетический
tough;крепкий, выносливый
forceful;сильный
muscular;мускулистый
sinewy;жилистый
stalwart;дюжий, рослый
burly;рослый, дородный
hardy;здоровый, выносливый
brawny;мускулистый
robust;крепкий, сильный
6. weak;6. слабый
feeble;слабый
faint;слабый
frail;хрупкий
exhausted;изнуренный, измученный
enervated;обессиленный
7. fat;7. толстый, жирный, полный
stout;полный, тучный
heavy;тяжелый
plump;полный, пухлый
chubby;пухлый
overweight;с лишним весом
obese;тучный, грузный
fleshy;мясистый
paunchy;пузатый
portly;полный, дородный
corpulent;дородный, тучный
8. lean;8. худой, стройный
non-fat;не жирный
slender;стройный
slim;стройный
skinny;тощий, сухощавый
thin;тонкий
svelte;стройный, гибкий
willowy;стройный
lanky;долговязый
emaciated;тощий, исхудалый
gaunt;исхудалый, изможденный
scrawny;костлявый, сухопарый
bony;костлявый
angular;угловатый
skeletal;как скелет
