1. rich;1. богатый
well-to-do;состоятельный, обеспеченный
well-off;обеспеченный
wealthy;богатый
moneyed;богатый, с деньгами
propertied;имущий
prosperous;процветающий
affluent;богатый, состоятельный
flush;богатый
loaded;богатый
2. poor;2. бедный
poverty-stricken;обедневший
insolvent;неплатежеспособный
indigent;неимущий
impoverished;обнищалый
penniless;безденежный, бедный
moneyless;безденежный
bankrupt;обанкротившийся
broke;обанкротившийся
needy;нуждающийся
3. ragged;3. поношенный, оборванный
tattered;в лохмотьях
shaggy;поношенный, потертый
shabby;поношенный
frayed;обтрепанный
patched;в заплатах
shoddy;поношенный, плохого качества
4. naked;4. голый
unclad;неприкрытый, раздетый
undressed;раздетый
nude;нагой, обнаженный
unclothed;раздетый
bare;голый
