1. childish;1. детский
immature;незрелый
infantile;младенческий
babyish;ребяческий
callow;зеленый, безусый
boyish;ребяческий
girlish;девичий
green;зеленый, незрелый, молокосос
2. young;2. молодой
under-age;несовершеннолетний
adolescent;отроческий
minor;несовершеннолетний
callow;зеленый, безусый
puerile;ребяческий
juvenile;юный, юношеский
immature;незрелый
teenage;подростковый
fresh;молодой, незрелый
3. mature;3. зрелый
ripe;зрелый
adult;взрослый
grown-up;взрослый
developed;развившийся
senior;совершеннолетний
virile;мужественный
manly;мужественный
womanly;женственная
middle-aged;средних лет
4. virile;4. мужественный
manly;мужественный
masculine;мужской, мужественный
manful;мужественный
potent;способный к половому акту
sexy;к сексуально привлекательный
sensual;чувственный, сладострастный
5. womanly;5. женственный
feminine;женский/женственный
female;женский
alluring;манящий, соблазнительный
sexy;сексуально привлекательный
seductive;соблазнительный
6. old;6. старый
elderly;пожилой
aged;пожилой
gray-headed;седой
hoary;седой
senile;старческий
decrepit;дряхлый
7. single;7. одинокий, неженатый
unmarried;неженатый, незамужняя
unwed;неженатый, незамужняя
spouseless;неженатый
wifeless;неженатый
husbandless;незамужняя
bachelor;холостяцкий
maiden;девичий
spinster;старая дева
widowed;овдовевший
divorced;разведенный
8. married;8. женатый, замужняя
wedded;женатый, замужняя
marital;супружеский, брачный
united in marriage;связанный браком
9. virginal;9. девственный
maiden;девичий
chaste;целомудренный
untouched;нетронутая
continent;воздержанный, целомудренный
pure;чистый, невинный, целомудренный
10. lewd;10. развратный
licentious;распутный
incontinent;невоздержанный
wanton;распутный
promiscuous;распутный
dissolute;развратный
