1. ready;1. готовый
available;наличный, доступный
completely prepared;подготовленный
present;присутствующий
handy;удобный, под рукой
set;приготовленный, установленный
fitted out;оснащенный
equipped;оборудованный
furnished;меблированный
finished;завершенный
2. unfinished;2. незавершенный
uncompleted;незавершенный
incomplete;незаконченный, неполный
undone;незаконченный, несделанный
unfulfilled;невыполненный
unequipped;необорудованный
unavailable;не имеющийся под рукой
unprepared;неподготовленный
3. convenient;3. удобный
suitable;подходящий
handy;удобный
serviceable;пригодный, полезный
adapted;приспособленный
useful;полезный, удобный
comfortable;удобный
pleasant;приятный, удобный
adequate;адекватный
satisfactory;удовлетворительный
4. inconvenient;4. неудобный
unsuitable;неподходящий
uncomfortable;неудобный
unhandy;неудобный
unusable;непригодный
unserviceable;непригодный
impractical;непрактичный
unwieldy;громоздкий
5. intact;5. исправный
whole;целый
unbroken;неполоманный
in good repair;в хорошем состоянии
unimpaired;не поврежденный
safe;невредимый, надежный
working;работающий
functional;целесообразный, рациональный
operative;действующий
serviceable;пригодный
undamaged;неповрежденный
6. broken;6. поломанный
damaged;поврежденный
impaired;поврежденный
out of repair;неисправный
inoperative;бездействующий
unserviceable;непригодный
7. clean;7. чистый
unsoiled;незагрязненный
spotless;незапятнанный
sanitary;гигиенический, санитарный
cleansed;очищенный
washed;помытый
scrubbed;вымытый (щеткой с мылом)
neat;чистый, опрятный
tidy;опрятный., аккуратный
pure;чистый
uncontaminated;незагрязненный
8. dirty;8. грязный
filthy;грязный
soiled;испачканный
stained;испачканный
unwashed;немытый
untidy;неопрятный
contaminated;загрязненный
impure;нечистый, загрязненный
polluted;загрязненный
9. free;9. свободный
unoccupied;незанятый
available;имеющийся в наличии
spare;запасной, лишний
idle;бездействующий, праздный
unemployed;безработный
unused;неиспользуемый
not operating;бездействующий
vacant;свободный, незанятый
uninhabited;незаселенный
leisure;свободный (время)
empty;пустой
10. occupied;10. занятый
engaged;занятый
employed;занятый (работающий)
toiling;напряженно работающий
operating;действующий
filled;заполненный
crowded;переполненный (людьми)
inhabited;населенный, заселенный
crammed;набитый (чем, кем)
busy;занятый (работой)
