1. sky;1. небо
atmosphere;атмосфера
firmament;небосвод
heaven;небеса
space;воздушное пространство
the blue vault;голубой небосвод
2. space;2. пространство
the universe;вселенная
the firmament;небосвод
the heavens;небеса
sky;небо
ether;эфир
cosmos;космос
3. environment;3. среда
medium;среда
habitat;естественная среда, зона обитания
element;стихия
surroundings;окружение
milieu;среда
atmosphere;атмосфера
ambience;окружающая среда
situation;ситуация
4. atmosphere, air;4. атмосфера, воздух
gaseous envelope;воздушная оболочка
ambience;среда
environment;среда
surroundings;окружение, среда
5. star;5. звезда
heavenly body;небесное тело
planet;планета
constellation;созвездие
galaxy;галактика
sun;солнце
6. orbit;6. орбита
course;курс
trajectory;траектория
circuit;круг
cycle;цикл
way;путь
7. apogee;7. апогей
farthest point;дальняя точка
highest point;наивысшая точка
zenith;зенит
summit;вершина
climax;кульминация
culmination;кульминация
acme;высшая точка
8. horizon;8. горизонт
frontier;граница
limit of knowledge;границы познания
sphere;сфера
area;область
field;область
scope;простор, предел
expanse;пространство
prospect;перспектива
boundary;граница
bound;предел
