1. earth;1. земля
soil;почва, грязь
dirt;грязь
ground;земля, грунти,
land;суша
top-soil;пахотный слой
sod;дерн, земля
loam;плодородная земля
clay;глина
2. globe;2. земной шар
planet;планета
celestial body;небесное тело
earth;планета Земля
world;мир
3. territory;3. территория
terrain;территория, местность
region;область, регион
land;земля, суша
area;зона
zone;зона
district;район, участок
4. island;4. остров
isle;остров
islet;островок
atoll;атолл
5. quay;5. набережная, причал
landing;причал
wharf;причал
pier;пирс, мол
dock;док
mole;мол
6. bank;6. берег реки
shore;берег
edge;кромка
strand;берег, побережье
7. shore;7. берег
coast;морской берег
seacoast;морской берег
seaside;побережье моря
beach;пляж
strand;береговая полоса
bank;берег реки
riverbank;берег реки
8. coast;8. морской берег
seacoast;морской берег
littoral;побережье
strand;побережье
shoreline;береговая линия
seashore;морской берег
seaside;побережье моря
9. dam;9. дамба, плотина
barrier;барьер
wall;стена
hindrance;препятствие
10. cape;10. мыс
promontory;мыс
peninsular;полуостров
headland;мыс
spit;длинная отмель, коса
point;мыс, выступ
