1. place;1. место
spot;место, точка
point;точка, место
site;местоположение
position;положение
location;местоположение
locality;местность, местоположение
station;пост, положение
2. orientation;2. ориентировка
direction;направление
alignment;равнение, расстановка
bearing;ориентирование
3. direction;3. направление
way;путь
course;курс
route;маршрут
point of compass;показание компаса
path;путь
4. course;4. курс
route;маршрут
direction;направление
path;путь
road;дорога
way;путь
orbit;орбита
trajectory;траектория
itinerary;маршрут
travel plan;план пути
pass;путь
track;курс, путь
5. milestone;5. вежа
mile-post;веха
signpost;указательный столб
6. landmark;6. ориентир, веха
milestone;веха
keystone;краеугольный камень
signpost;указатель
guide-post;указатель
bench-mark;отметка
7. pointer;7. указатель, стрелка
indicator;указатель
arrow;стрелка
guide;путеводитель
hand;стрелка
needle;стрелка компаса
8. map;8. карта
topographical chart;топографическая карта
chart;карта
plan;план
plot;план, набросок
9. aim;9. цель
target;цель, мишень
goal;цель
mark;цель, мишень, знак
end;цель
