1. zone;1. зона
region;область, регион
habitat;зона распространения (животные)
tract;зона
area;зона
territory;территория
expanse;пространство
2. landscape;2. пейзаж
outlook;вид, кругозор
panorama;панорама
sight;вид, картина
scene;пейзаж, картина
scenery;пейзаж
3. desert;3. пустыня
wasteland;пустошь
arid region;засушливый район
sands;пустыня, пески
4. field;4. поле
meadow;луг
grassland;степь, поле
pasture;пастбище
lea;луг
lawn;лужайка
steppe;степь
5. forest;5. лес
woods;лес
wooden area;лесистая местность
woodland;лес
bush;кустарники
grove;роща
thicket;чаща
wilderness;дикая лесная местность
jungle;джунгли
stand;лесонасаждение
park;парк
6. garden;6. сад
flower garden;цветник
kitchen garden;огород
botanical garden;ботанический сад
plot;земельный участок (засаженный)
orchard;сад
plantation;плантация
7. grove;7. роща
thicket;чаща
coppice;рощица
copse;рощица
shrubbery;кустарник
bush;кустарник
brake;чаща, кустарник
bosk;рощица
8. thicket;8. чаща
thick bushes;густой кустарник
bush;кустарник
brush;заросли
covert;чаща
shrubs;кустарник
shrubbery;кустарник
grove;роща
9. bush;9. кустарник
shrub;кустарник
thicket;чаща
forest;лес
wood;лес
10. lawn;10. газон
grass;трава
greensward;газон
sward;газон
meadow;луг
green field;лужайка
grassy plot;лужайка
11. abyss;11. пропасть
bottomless pit;бездонная яма
chasm;глубокое ущелье
gorge;ущелье, теснина
gully;глубокий овраг
depth;глубь, пучина
12. cleft;12. расселина, трещина
split;трещина
crack;трещина
crevice;трещина, щель
fissure;трещина, расселина
breach;брешь, излом
gap;брешь, пролом
furrow;борозда
trench;ров, канава
13. ditch;13. канава
pit;яма
trench;ров, канава
hollow;полость
excavation;котлован
furrow;борозда
14. gully;14. глубокий овраг
ravine;овраг, ущелье
gulch;узкое глубокое ущелье
gap;брешь
small valley;небольшая долина
gorge;ущелье
gutter;сточная канава
furrow;борозда
trench;ров, канава
15. valley;15. долина
river basin;бассейн реки
dell;лесистая долина
glen;долина
gully;глубокий овраг
16. crest;16. гребень, вершина
top;вершина
summit;верх
peak;пик
apex;верхушка, вершина
ridge;гребень горы
17. ridge;17. гребень горы
hill;холм
rise;возвышение
hillock;холм
mount;холм
spine;гребень горы
18. top;18. верх
highest point;высшая точка
summit;вершина
peak;пик
apex;вершина
vertex;вершина
pinnacle;шпиль
acme;вершина
crest;гребень
19. highland;19. плоскогорье, нагорье
tableland;плато
plateau;плато
height;высота
rise;возвышение
20. bill;20. холм
knoll;холм, бугор
rise;возвышение
hillock;холмик
mount;холм, гора
dune;дюна
cliff;утес
highland;возвышенность
elevation;возвышение
21. slope;21. склон
slant;склон, уклон
incline;наклон
descent;спуск
acclivity;подъем, уклон
ramp;скат, уклон
