1. wave;1. волна
billow;большая волна
roller;большая волна, вал
ripple;зыбь, рябь
undulation;волнение
comber;большая волна
breaker;бурун
2. current;2. течение
flow;поток, течение
stream;прилив
tide;поток
flux;медленное течение
drift;течение
torrent;стремительный поток
3. tide;3. прилив и отлив
high tide;прилив
ebb tide;отлив
flood tide;прилив
low tide;отлив
4. drift;4. медленное течение
current;течение
flow;поток
stream;течение
movement;движение
5.torrent;5. стремительный поток
stream;поток
rapid flow;стремительный поток
deluge;поток
flood;наводнение
gush;сильный поток!
rush;напор, наплыв
6. gulf;6. залив
large bay;большая бухта
bay;залив, бухта
fiord;фиорд
inlet;узкий морской залив
cove;бухточка
creek;бухта, залив
harbour;гавань
haven;гавань
7. well;7. родник, источник
source;исток ключ, источник
fountain;фонтан
8. swamp;8. болото
bog;болото
marsh;заболоченная местность
quagmire;болото, трясина
mire;болото
morass;болото, трясина
slough;болото, топь
9. whirl;9. водоворот, вихрь
whirlpool;водоворот
swirl;водоворот
eddy;маленький водоворот
vortex;водоворот, вихрь
10. brook;10. ручей
stream;поток, ручей
creek;ручей
revulet;ручей
run;поток, ручей
rill;ручеек, родник
11. strait;11. пролив
narrow passage;узкий проход
channel;канал
gorge;теснина
12. pool;12. лужа, бассейн
pond;пруд
lake;озеро
mere;озеро, пруд
puddle;лужа
13. reservoir;13. резервуар
basin;бассейн
pond;пруд
water reserve;резерв воды
pool;бассейн
