1. wind;1. ветер
breeze;бриз
hurricane;ураган
tempest;буря
whiff;легкое дуновение
whirl;вихрь
gust;сильный порыв
gale;буря, шторм
flurry;шквал
typhoon;тайфун
2. frost;2. мороз
cold spell;холод
chill;холод
below-freezing;мороз
3. heat;3. жара
hotness;высокая температура
high temperature;жаркая погода
hot weather;жара
hot spell;зной, духота
swelter;сильный жар, зной
4. darkness;4. темнота
night time;ночное время
night;ночь
twilight;сумерки
dusk;сумерки
nightfall;наступление темноты
5. light;5. свет
radiance;сияние
illumination;освещение
shine;сияние, свет
sunshine;солнечный свет
luminosity;яркость света
brightness;яркость
blaze;свет
brilliance;блеск
beam;луч
glare;яркий свет
glow;свет, зарево
