1. rain;1. дождь
precipitations;осадки
rainfall;выпадение дождя
drizzle;мелкий дождь
shower;ливень
downpoor;ливень
sprinkle;мелкий дождь
flurry;неожиданный ливень
cloud-burst;ливень
drencher;ливень
torrent;сильный ливень
2. drop;2. капля
droplet;капелька
drip;капанье
bead;капля
trickle;струйка
dribble;капля
splash;брызги
spatter;брызги, капли
dew;роса
3. moisture;3. влага
dampness;влажность
moistness;влажность
wetness;влажность
humidity;влажность
dew;роса
evaporation;испарение
vapour;пар
sweat;пот
mist;туман
drizzle;мелкий дождь
dankness;сырость, влажность
4. vapour;4. пар
moisture;влага, сырость
mist;туман, сырость
dew;роса
haze;дымка, испарение
fog;туман
steam;пар
smoke;дым
smog;смог, туман с копотью
5. fog;5. туман
thick mist;густой туман
haze;дымка, испарение
cloudiness;облачность
murkiness;пелена (дождя)
6. dew;6. роса
moisture;влага, сырость
condensation;конденсат
morning wetness;утренняя роса
droplets of moistun;капельки влаги
7. blizzard;7. метель
snowstorm;снежная буря
tempest;буря
squall;шквал
snow blast;снежная буря
snowfall;снегопад
winter storm;зимняя буря
flurry;неожиданный снегопад
gale;буря
