1. cataclysm;1. катаклизм, бедствие
catastrophe;катастрофа
calamity;бедствие
disaster;катастрофа
accident;несчастный случай
adversity;несчастья, бедствия
affliction;несчастье, бедствие
blight;вредное, пагубное влияние, напасть
misfortune;несчастье
2. danger;2. опасность
peril;опасность
risk;риск
hazard;опасность
threat;угроза
menace;угроза
jeopardy;опасность
3. earthquake;3. землетрясение
quake;землетрясение
earth shock;землетрясение, толчок
seism;землетрясение
upheaval;смещение пластов
4. eruption;4. извержение
outburst;извержение
bursting forth;извержение
belching forth;извержение
ejection;извержение
5. flood;5. наводнение
inundation;наводнение
overflow;затопление
deluge;потоп
6. fire;6. пожар
conflagration;возгорание
flame;пламя
blaze;пламя, вспышка
holocaust;полное сожжение
7. contamination;7. загрязнение
pollution;загрязнение
poisoning;отравление
defilement;загрязнение
spoiling;загрязнение
dirtiness;загрязненность
foulness;загрязненность
impurity;загрязнение
8. wreck;8. крушение, авария
shipwreck;кораблекрушение
ruins;руины
crash;авария
collision;столкновение
break-down;поломка, развал
break-up;развал, распад
collapse;крушение, крах
9. destruction;9. разрушение
destroying;разрушение
wreckage;обломки крушения
demolition;разрушение
ruins;руины
10. break-down;10. развал, крах
failure;крах
collapse;крах
deterioration;разрушение
decline;упадок, закат
11. victim;11. жертва
dead;погибший, мертвый
casualty;убитый, раненый
injured;пострадавший
wounded;раненый
prey;жертва
fatality;несчастье, смерть
