1. dimension;1. размер
size;размер
length;длина
width;ширина
height;высота
thickness;толщина
measurement;размер
physical extent;физические размеры
mass;масса
volume;объем
2. magnitude;2. величина
measure;размер
bigness;величина
hugeness;огромность
largeness;величина
vastness;громадность, безбрежность
immensity;огромность
3. volume;3. объем
space occupied;объем
capacity;объем
measure;размер
size;размер
dimensions;размеры
magnitude;величина, размеры
4. content;4. содержимое
insides;внутренность
capacity;емкость
volume;объем
area;площадь
size;размер
5. scope;5. масштаб, размах
area;площадь
span;длина, ширина, размах
extension;протяженность
stretch;протяжение, пространство
spread;протяженность, простирание
confines;границы
bounds;пределы
reach;протяжение
6. distance;6. расстояние
span;длина, пролет
gap;зазор, отстояние
interval;интервал, расстояние
stretch;протяжение
space;зазор
7. extent;7. протяжение, пространств
expanse;широкое пространство
area;площадь
space;пространство
range;диапазон
sweep;охват, кругозор
breadth;ширина
amplitude;амплитуда
reach;предел досягаемости
compass;объем, охват
8. height;8. высота
altitude;высота
elevation;высота
tallness;высота
highness;высота
loftiness;большая высота
