1. body;1. геометрическое тело, фигура
figure;фигура
form;форма
shape;форма тела
frame;каркас
physique;телосложение
build;конструкция, телосложение
2. shape;2. форма, образ
outline;очертание
contour;контур
figure;фигура
profile;профиль
configuration;конфигурация
form;форма
3. tilt;3. наклон
slant;наклон,скос
incline;наклон
slope;склон
cant;наклон, скос
rake;отклонение от перпендикуляра
grade;уклон
pitch;наклон, угол наклона
4. bulk;4. большие размеры, объем, масса
mass;масса
massiveness;массивность
largeness;большие размеры
bigness;величина
size;размер
volume;объем
weight;вес
dimensions;габариты
measure;размер
hugeness;огромность
5. figure;5. фигура, форма
form;форма
shape;форма
outline;контур
body;тело
build;телосложение
physique;телосложение
contour;контур
cut;покрой
cast;форма
configuration;форма
frame;каркас,остов
