1. surface;1. поверхность
face;поверхность
exterior;наружная сторона
coating;покрытие
veneer;облицовка
skin;наружный слой, оболоч
2. area;2. площадь
zone;зона
space;пространство
expanse;большое пространство
stretch;протяженность
3. circle;3. круг
ring;кольцо
circuit;длина окружности
orb;орбиты,круг
hoop;обруч, кольцо
corona;корона, венец
disk;диск
circumference;окружность
4. fleck;4. пятно
spot;пятно, точка
patch;пятно
mark;отметка, след
speck;пятнышко, крапина
speckle;пятнышко
dot;пятно, точка
mole;родинка
5. angle;5. угол
bend;изгиб, поворот
turn;поворот
corner;угол
edge;кромка, грань
cusp;рог луны, острый выступ
